Turning The Tables: 21st Century Edition,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
79,Put Your Records On,2nGFzvICaeEWjIrBrL2RAx,Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn,Corinne Bailey Rae,141Mp3P2VKHQMhtkW1DyQg,77,not available
80,OOOUUU,0D21XvHcVsIvJM6FcGY2BT,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,OOOUUU,0o7QxqeqhALehCfm0kpJJo,65,https://p.scdn.co/mp3-preview/0852b011bb11c251d0e9f90c6a010997013e0f09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Don't Let Me Get Me - Radio Edit,2ZQ4Q9xL7W8FEgO1d4o7YH,P!nk,1KCSPY1glIKqW2TotWuXOR,M!ssundaztood,03pT16iWbhVKpDodI37D8b,10,not available
82,River,1wFIjJSHobXpNDbSfe8Gdb,Ibeyi,5Q8NEHGX70m1kkojbtm8wa,Ibeyi,5iFP1alzRGUIpM48PYrGQh,44,https://p.scdn.co/mp3-preview/55ac04c0cc49438319480673a47b12aefda9b5fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,All Is Written,4p6SzEqY9wjZxI9ugmBUSq,Matana Roberts,0JsR3SXB4qNYABygCfyozb,Coin Coin Chapter Three: River Run Thee,3rLsYmzeiIzXAHfOdelXpR,9,https://p.scdn.co/mp3-preview/aaa9f834fae267eb2c18ba6ecc6cab6b47eb9d0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Coffee,71cUqXJ3h1r0Ees6YdENLU,Sylvan Esso,39vA9YljbnOApXKniLWBZv,Sylvan Esso,5Abelpx4c3FzhTOZP3ZIvS,60,https://p.scdn.co/mp3-preview/aad9438fecf5f06a54f80befc99f75e47fd48a0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,Evanescence,5nGIFgo0shDenQYSE0Sn7c,Fallen,02w1xMzzdF2OJxTeh1basm,79,not available
86,Two Weeks,0PHwCbA310LLIMcSDpQbgF,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,LP1,5VqGGKeWpIBRFh4M4XmqDK,54,https://p.scdn.co/mp3-preview/754c19a04ffec0464b5c5cbfaa0d1cb25f10e7fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Partita for 8 Singers: No. 1. Allemande,2QZK9LEzWY1aJfFop1fSF3,Caroline Shaw,3uUFClFtbjbjQQIq4BjY2C,Roomful of Teeth,3lwMLjUsXxJhhb1ge2YXl8,15,https://p.scdn.co/mp3-preview/c34b93014f2cd82ab4b21590da10eeea47e2319b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Anyone Else But You,2pKi1lRvXNASy7ybeQIDTy,The Moldy Peaches,7GGv4mV9JTJK9e7nIzUliU,The Moldy Peaches,4FD8WC9s2yohxwVTp9f236,57,https://p.scdn.co/mp3-preview/4ff728a9833f8cddaf6cd7fbb302a5a95ef188f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Mujer Moderna,7Cr5zq3xZbkVDMVRJVxtec,Fea,3nKEqmxHdIu4WbtE2kKvya,Fea,1P7OZjd44hkzbpbuNxCzKo,0,not available
90,The Wire,6golelYKuy85o3u0cxIxFK,HAIM,4Ui2kfOqGujY81UcPrb5KE,Days Are Gone,729Vh0HApsm7hGDVjbmtrf,59,https://p.scdn.co/mp3-preview/478cc3176c98655885e16fa578cc77b04c20bdad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
