Roséwave: Juice Up Your Summer,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
54,Popular Thug,2T3BhLHne88kSYO6avGveP,Kelis,0IF46mUS8NXjgHabxk2MCM,Wanderland,7boHGihaD88Ixllx1ZUWIU,25,not available
55,Bad Girls,4Nh6q5ZWiGS5BVGQryoOMp,Donna Summer,2eogQKWWoohI3BSnoG7E2U,Greatest Hits: Donna Summer,7bPWboTwpdLvVoazPT37BO,6,not available
56,Afro-Harping,2GhirY1WxwRTIW6R6FowyO,Dorothy Ashby,0dAZ2slrElfR0Y5flcoSPt,Afro-Harping,1XEPKavl3nlI2qVt8HuA5n,38,not available
57,La Romana,1khmgu0pveJbkbpbkyvcQv,Bad Bunny,4q3ewBCX7sLwd24euuV69X,X 100PRE,7CjJb2mikwAWA1V6kewFBF,79,https://p.scdn.co/mp3-preview/b52a4acd39d888cabdca0932ad003cc46d1247ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Glad He's Gone,6aIAuKNU8JlVaTmoCYYN6U,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Glad He's Gone,4XpTyLPAuao2zSsN6WGR94,73,not available
59,Boasty (feat. Idris Elba),7cz506PyIgh2bMN90Mc8Tn,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,Boasty (feat. Idris Elba),7JoyVaXzxpgTPjkgB8mWk3,76,https://p.scdn.co/mp3-preview/c5c6bfce58de92ec322568b3af849311c853fab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Freeway Of Love,0lpIVCLNQRBKffcRRNrHyh,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Who's Zoomin' Who? (Expanded Edition),7x58T4Q8rIR7rY9mPen1li,50,https://p.scdn.co/mp3-preview/4e269ed052788e95e4c1f43682617aa93d67f610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Fast in My Car,6r9cqn3KG824MXSo7sHPlK,Paramore,74XFHRwlV6OrjEM0A2NCMF,Paramore,4sgYpkIASM1jVlNC8Wp9oF,55,https://p.scdn.co/mp3-preview/c4d3a6493fbb9ea6287ada5330174179f28421e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Hard to Believe,0frFqkbPPtSWvxUtS46ynu,Charly Bliss,7axA2bNeZsae6t2mgxoSFh,Young Enough,1r4TaIR9nZHCM2umwoEiWB,36,https://p.scdn.co/mp3-preview/7f48b3aa3ba12fd6c0c8e893a08090620be9f981?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Once Good,2o48PcxpEKe6TvgmP5gDZK,Kississippi,6t0a2t1BXxTQvAkxReClPm,Sunset Blush,2sYhY3BCNFmuttK8jyjxKb,28,https://p.scdn.co/mp3-preview/cac2113a0a361ca7754d9232bc1b581cae5fae42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Can't Hardly Wait,5Yhtl4uzxrAigO0IbiaEmz,The Replacements,4WPY0N74T3KUja57xMQTZ3,Pleased To Meet Me,1dXWzQaQR2CSEoIKGMciCD,32,https://p.scdn.co/mp3-preview/6d782cd37b39fa653a309d41cfeb152c555f039c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Don't Stop The Dance,2bTe1fvWK8mfjSP6NqXDzU,Bryan Ferry,5RNFFojXkPRmlJZIwXeKQC,Boys And Girls (Remastered 1999),3SsNd5MeJKc1IK3nazaWg2,56,not available
66,One Hot Love - 2018 Remaster,67FOOzqXQ2nakluuYtlCPH,Makoto Matsushita,5qm3bAgsYq5aBOymqkM4gG,FIRST LIGHT (2018 Remaster),6iHAKqapZLwgw9yIrVgsUT,24,https://p.scdn.co/mp3-preview/66d4171aedf3e014ed9ac4537461e81bcdd0e706?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Strawberry Swing,2dphvmoLEXdk8hOYxmHlI3,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Viva La Vida or Death and All His Friends,1CEODgTmTwLyabvwd7HBty,55,https://p.scdn.co/mp3-preview/25201899185843ad4b66db4445841224251b7083?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Eighteen,5StW9VA75z8AUtMnkY3ZnM,Pale Waves,0wOej91SVqB1zcYkW6xUtA,My Mind Makes Noises,6EuYfecmZrodq8sKWW00tZ,43,not available
69,Happy & Sad,04MoJkJzCoU9ukeewv5Vzu,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,7f6xPqyaolTiziKf5R5Z0c,65,not available
70,Make It Better (feat. Smokey Robinson),0BhvzFxq3FHiMdGcLiTphr,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Make It Better (feat. Smokey Robinson),2uiF3HvWDxAMupxCZ8t1VY,21,not available
71,BMO,7Ffgp7DIow5wECYQyzEiTq,Ari Lennox,1vaQ6v3pOFxAIrFoPrAcom,Shea Butter Baby,3hejjJbFsinMBc1KBqF71w,70,not available
