Songs For Sleeping,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
89,Chill - 2,4D88ve3cG8zd8jTq8gOtV1,The Chicago Duo,0N0hNGhWhU9mlIHJAeA7IL,Chill - 2,5NhAz0S3fxKFFamM9ONNrp,45,https://p.scdn.co/mp3-preview/a36552dee84d0b99da0472eb72d471aec2664be3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Introverta,1v0KqRyZqN3vXPQGi4VKsd,Tom Waller,0QXtDz0WJrXoGWVlilY0Xc,Introverta,4l8J4gf3XYxaXYrMyhPXAh,44,https://p.scdn.co/mp3-preview/2d3abae7fc72f7b81549c6e777c867f3aeb5f914?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,In The Mist,7AlNTcQorRnNijLoA5aIDs,Harry Rosenpal,3TILGCZhkTRWHXhZUjRDpy,In The Mist,0wHjc9LoGMJ0qx7gHTHg4Y,47,https://p.scdn.co/mp3-preview/042227eef42acb1fa25819e769770600b94490a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Like Trees Planted Near Water,1gBbH0RjC9Itjj6vinWhfB,Zoran Tadic,6CcuPHBAjZtCPeOtLAsc1Y,Like Trees Planted Near Water,1Deqejd3esPRyIpWMgu8hZ,48,https://p.scdn.co/mp3-preview/96bf1cd87bc533df4784e79655f466bf2990071a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Moonlight Sky,0IbCvSXkxMGhqg7QJ51Zig,Vivo Lector,2XmU3bofon7qzAOgsY3mSV,Moonlight Sky,27J3TEoJDyzoxF97NI8Q8s,51,https://p.scdn.co/mp3-preview/7b4fbb9f8e2fd76faca966cede6a6a525a054a72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,The Parisian,2x5AQUZYCXGEUngHLDhYSo,Thierry Delblanc,7dW1YWQqmQWunTgwF7Av2c,The Parisian,2lxVQacQv1EuQqf8PTDWVz,44,https://p.scdn.co/mp3-preview/3aa4fd09b04d6494afc8d7f6666ac4dcac83bc21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,By The Open Fire,0LnmUpHTZQUfnWFxdgw2QV,Reza Mouzza,3LMdBV59FMNcxMPs5DUe7I,By The Open Fire,5P7d2MDfCZtoaNDGpSj6S0,46,https://p.scdn.co/mp3-preview/fcddff635bb1e970d18345e2ed9162adbc1af6bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Waltz With Me,5lFEnPOthqYPWrw43urIR6,Rachel Knott,2FMo17d95Kighw7jsjq7xx,Walz With Me,2MKTu30DdCaMw93Ipktu1E,49,https://p.scdn.co/mp3-preview/6f2acf4299cdcb07feca1db6bf9e9ef8b8665ab3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,A Thousand Dreams,2R8PENzApXLgAMNeEVxrzN,Vic Hamberlin,20tBmXNxSXOZwdAcyyx7Rq,A Thousand Dreams,4DQcdoV4VMlRKLNLVHuQY7,50,https://p.scdn.co/mp3-preview/96fd339c0ace1127f08b8a55d8564e1f52df525b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,One Morning In June,3rdau6vlFbeLv9rKPLcaNw,Greg Barley,2vtB2OkNqUjGsqoOUqNAL5,Moonbeams,3IycxGGLKapzRlYAtNI8me,50,https://p.scdn.co/mp3-preview/6dc5fdcdff95981a9c5107e287930d59f07ac293?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Old Friends,77q2I17hdHukGdJJpxYOke,Juliana,6RBHDN4rT8QrKtozLpU8Vp,Old Friends EP,2arcSC9YzTWGM1c9pHBWsR,50,https://p.scdn.co/mp3-preview/bc4e940844dca6faf26cbe432461d707bb16f850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
