Sweet Soul Sunday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
42,Who Saw Who,30Ft8JWX5NA4YI7QRI52j9,Tara Lily,1bt3qLrv0clLAZStcQf4zy,Who Saw Who,32CWCM5EJIjSPeYqlPzq6f,42,https://p.scdn.co/mp3-preview/fb1c8af38431e5c0645b8b52ec7eac86e12d53ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,This Is What We Wanted,0CM4wMAt8xIsGbGUbEl8Ie,Izzy Bizu,6b5YOgXIliAozdo49vUCJQ,GLITA - EP,4IXfPOkwd4JbnuNadooK7x,41,https://p.scdn.co/mp3-preview/6d386d352a37d6aa2c1653fb4e19244b2271ca0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Surprise Me,5deVg0xkVdJQZ8at6uuNwB,Mahalia,16rCzZOMQX7P8Kmn5YKexI,Surprise Me,1id1lg4koE3zjecZSqBdOE,59,https://p.scdn.co/mp3-preview/ddd7d699f685c85d8be12ab98f99d7ba217991fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Golden,03UZ8fbo1heGpeeVI380lY,shiv,5rxxzsO9zojzg0FfWVmIv7,Golden,0hNccp1ktroLsmDFPvUh0l,42,https://p.scdn.co/mp3-preview/a594c201b8160099f052fa9564db678ae9d82528?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Signs,5dcmPu0g6AuvR8hWsSIiCp,Jordan Rakei,24icoQNJSEWNu3XvqKBR68,Origin,7fn4t6YrZzqowiab2fugQK,53,https://p.scdn.co/mp3-preview/b48b073e9fad18bbd3a5dfe90210274896f9f235?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Selfish,2G2k2ZFsQkIEkAWDTvqHXM,Little Simz,6eXZu6O7nAUA5z6vLV8NKI,GREY Area,4Wwm4xg2748zhYuzDRFTgY,63,https://p.scdn.co/mp3-preview/8278bf516017c9b3e71102edd458865135967dcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Glass Shards,1Yhkq1TUW3d1WYyhS7Vt9g,Laura Misch,0NrVrf231eji48nhNUJTXe,Lonely City,7067zgNsGbFQdkyS6jL1wn,48,https://p.scdn.co/mp3-preview/4ac08c887437213c0886d844d5882b081881033c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Like Sugar,0lWEatZXBBYUzEQX5aMeSj,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,Hello Happiness,1QRhPsupQCDlD9EwTWumSA,61,not available
50,Notice,1T8gXuMIaGj75AsbQSNL0E,JGrrey,66rDbD3tWR3M1uNuIaDAGx,Grreydaze,3QWLDEXHLpnYS8dxSd0uUx,41,https://p.scdn.co/mp3-preview/24c36c21855623be56224ae52600dd5942da254a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Bad Bad News,5CDrDzan4wRW3Dj4LD6meH,Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Bet Ain't Worth the Hand / Bad Bad News,7Csuf8rJjBOP4GK11pPCw7,58,https://p.scdn.co/mp3-preview/82b8702aa0cd4995ecd7ff37ead0fc9406e24033?cid=fa83a2fec7c440b7a2795d600d6b2c7e
