Mind Right,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Eastern Conference All-Stars,2kpmmN7fLqzT8bLi4Wfzdi,Skyzoo,0qHfqHyHZnxvv1lfkJraQc,Eastern Conference All-Stars,6RnvvrkPKIZHslWJNNtXqq,48,https://p.scdn.co/mp3-preview/0811b99a81aab2575e77a8b3e271f57d02804465?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Minor,7FYcs3bu49N2iFZGYQfnpT,Kidaf,5JBZrdeCKdPc2ScgCceX1s,Minor,4KX3Syi6pTDS1qMeSx8yk3,36,https://p.scdn.co/mp3-preview/596dfea2baa7b13fb87f85fbd348d00900b5085d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Ibtihaj,3E0e6xSwnavQzRK1iLKvuw,Rapsody,6NL31G53xThQXkFs7lDpL5,Eve,4W5qCJNSN3oNHB986TdO9S,52,not available
39,Julia . . .,3eyVqOBSMKAfSRlg4uc6fg,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Is He Real?,2JnOb2SpW5DSOHhbW6GKru,52,https://p.scdn.co/mp3-preview/ea99288dd3a4fd6e90bc3d42fc693217ed65fc32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Worth the Weight (feat. Seun Kuti),5pG9DVF4ZIejtuU6HDLXH7,Jidenna,4TsHKU8l8Wq7n7OPVikirn,85 to Africa,238eVufzRziHuYLuBVZh1u,56,https://p.scdn.co/mp3-preview/f21efe2d030d38f9703a9d5543df1e714fff7bc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Screens,0Sg0XRoAAxzmrw6mTCsj8N,Joell Ortiz,1q13yHC6Syg5Y8iPLrRnCq,Monday,0YvBSPVUXskWNPaM0AVepf,45,https://p.scdn.co/mp3-preview/1671feb48758e5e48500cadd38e9089f2e8a59be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Yeezy 350,4X4ha8NawUxwhJmfZbISgI,Aaron Cohen,4j9hynzuOW6EIYhIR8UyDe,Raw Every Day,1YiP3opr6Sc3DLd7lwyQcv,37,https://p.scdn.co/mp3-preview/f5301417b12d324c50fd2f0cfd41e1056cb43b66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Show Me That You Love [Feat. Jill Scott & Samora Pinderhughes],26CGmoNMm7MQ2mduvDyfT1,Common,2GHclqNVjqGuiE5mA7BEoc,Show Me That You Love [Feat. Jill Scott & Samora Pinderhughes],0ePjBRgoFH9yT31bQkLG8w,49,not available
44,Everything,415e1Khf9oFtHPMrAhDwwq,Little Brother,0s9MrSopEoAn8JqwBipgdO,May the Lord Watch,5uyW47qYkSkjoh6WT6I89k,50,https://p.scdn.co/mp3-preview/42d6708b98ace73929d5195577ec0cc343e939ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,If U Say (feat. BJ The Chicago Kid),0Nz4r6k4KtPEdbSscKjwFN,Black Milk,77zgRkcehIGCAtROXkXkb3,If U Say (feat. BJ The Chicago Kid),7r7VUcC7fxbnOMxPLIaAjd,44,not available
46,Nina,7qDYx1hasHgyRMPsezx0dR,Rapsody,6NL31G53xThQXkFs7lDpL5,Eve,4W5qCJNSN3oNHB986TdO9S,53,not available
47,Tropical Storm Lenny (feat. Action Bronson),59OzzlZ0CaIp7BONONcWDr,The Alchemist,0eVyjRhzZKke2KFYTcDkeu,Yacht Rock 2,1IQmCioMTatFSX6biSISx5,49,https://p.scdn.co/mp3-preview/1c8b904dea6149f21ce9b86753d65a876b8f623e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Houdini,2RREQsudcVnGSrQZtiwuTv,Pivot Gang,0kDgxQlVYVecF6MCNWJTYE,Two Piece Tour Pack,7ACNmhUl7NLo0Gn4WPaE4A,50,https://p.scdn.co/mp3-preview/3e671fb08f2c7ce3db445f80fb4ae3d427424f10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Cleo,3mMpLkkVjO69cEo5E2wq4Y,Rapsody,6NL31G53xThQXkFs7lDpL5,Eve,4W5qCJNSN3oNHB986TdO9S,52,not available
50,Caught Her Lookin,52TTJeQsiMk5UIhyhvfBwt,Curren$y,6X8WdFjrNhXATMDSs26aCc,Hot August Nights,5WuZveI8W4Cq01RH9iDi80,48,https://p.scdn.co/mp3-preview/3e1a0cdf3990e6d518ff480fcba166a9e098819b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
