"Love, Sex, & Water",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Tell Me,2CxsxJlNT7pHSfDW8viIMA,83 Babies,0IBDUrXqsJZAAnipcupIRc,Rich Forever 4,4dLLebdeyxmLDUOmUgmkEg,51,https://p.scdn.co/mp3-preview/7415a724308520b972deb2041cd3d55d9e3baaeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,The Lay Down (feat. H.E.R. & WATT),4Fv2Yzpm9q7r6DJujUeUiP,DRAM,5M0lbkGluOPXLeFjApw8r8,The Lay Down (feat. H.E.R. & WATT),7lI5od7f6ljgPBZLEQbjmG,66,https://p.scdn.co/mp3-preview/82af93b3f706e707788be154b49baa04c0f2dabd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Seasons (feat. Khalid),1AROE0XcC4ySCxXF65mutZ,6LACK,4IVAbR2w4JJNJDDRFP3E83,East Atlanta Love Letter,3fc97ZWLIMc1xawhxbKrh2,74,not available
39,"Got Me (feat. Ari Lennox, Omen, Ty Dolla $ign & Dreezy)",2q8X0AA5YHDu0GelavXvUU,Dreamville,1iNqsUDUraNWrj00bqssQG,1-888-88-DREAM,3VTNWsdPxKZjJvEY87GivP,40,not available
40,I Got You (Always and Forever),333OkWOgbV6C8I5wRLfuSx,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,The Big Day,7bgi7zCoDsZdlLKPonHZqP,65,https://p.scdn.co/mp3-preview/8f01573bee831ccace2d4b0da79d1ad6bdb6c4ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,1 Question,2dLWb2s1QtgpzAGOaBVa0h,E-40,3crnzLy8R4lVwaigKEOz7V,Practice Makes Paper,5EK2Kc4pKtcVGUM4Dvz2PQ,56,not available
42,Pour Me (Thinkin bout u) [feat. Wale],6rhMJYVnUQnZ0wS29IIOST,Elle Varner,7zmk5lkmCMVvfvwF3H8FWC,Ellevation,3FnezFz4WHHoRSR6DDPIfq,49,https://p.scdn.co/mp3-preview/d6ce3b75be53deb863e6631194a1ce5e3f69274a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,LA Lisa (feat. Smino),4k0qnHbzex2LCNsT3IeRDU,SiR,3QTDHixorJelOLxoxcjqGx,Chasing Summer,7yd9HHhG8MvhJ1ksT3InDF,46,https://p.scdn.co/mp3-preview/b805e443ac55b5c9ec8d17b70d32ecfc627b42b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,LOVE AGAIN,2fhePAlCSsJplwkjqMYpVm,Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,CASE STUDY 01,4mvxoogQn8p84Wz17zTHnJ,75,https://p.scdn.co/mp3-preview/120a0e33e9f75d808bf1aab3a8b5af28b9a2b829?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Gemini (2 Sides),3k9ZjtTpDwZNu8YmGu0Dyx,Wale,67nwj3Y5sZQLl72VNUHEYE,Gemini (2 Sides),4DaiLGNyIJt05pMqs9Mjlj,60,https://p.scdn.co/mp3-preview/ce14cbf7740a8b4ce7aa7e79e4bebb5a6e4d1ec7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,U Say (feat. 6LACK),6eKQpHfI07oX6KEJRGWDtl,The Bonfyre,4oIGrMYn1N1xPNYVXcaEZJ,U Say (feat. 6LACK),6yYnbJJKEoTpvxUTZxfQUl,68,https://p.scdn.co/mp3-preview/a78f2002e70bbc511487efcd9e98e66e9c2bd5e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Property (feat. Calboy),0yKBNZwbhsEdnwjwXPpKGN,Ann Marie,3feB1IF85It42sebtWSqws,Pretty Psycho,17jAShVTnPWCRY1BFkjK6Z,51,https://p.scdn.co/mp3-preview/3caa8c9e1bbbc2741e893a817b920293b3d2df08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Secret (feat. YK Osiris),3JCvjoJdEpnvnY5QxLuUDE,Ann Marie,3feB1IF85It42sebtWSqws,Tripolar 2,0vwkR3oybj1mg5jhJK1uuW,65,https://p.scdn.co/mp3-preview/cabcc397596f2a8dbab25d1980cdc51832174a99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Time,05v5mPkLAOoa7M5tnXXOwq,Free Nationals,4596e2d3KmYzAeVenjCxfj,Time,5SEQL40XcXX1FUHtiqa8PG,68,https://p.scdn.co/mp3-preview/a95845690d556b59044e35f73985e5a6766029d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Yellowbrick,4qIL294ZXP5JmA2VxyhkJr,Ric Wilson,34zbMuAgXxsgqnGXSxWvCR,Yellowbrick,3GGZyOeA94xyOyLwDOan4D,49,https://p.scdn.co/mp3-preview/9d2a60273fb44105e5cd37ada4f190f7af826be3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
