The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
50,Stranger,66aathctmCH7jJ2BbDg4Fm,WVNDER,56LuTyFDFBgcq4hkc4XMu5,Nothing Stays,2yP06M3lbojJ7ihnjlSdX5,36,https://p.scdn.co/mp3-preview/fafc0e5030c4eea45de8d1cb58460ca1ba97a69b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,From The Outside,7fHfn8mvEYI57Pz9bMT3PG,Real Friends,6dEtLwgmSI0hmfwTSjy8cw,From The Outside,0kyY01XQw8dhBFFVIgGbUX,0,not available
52,Goodbye Forever,2EU2rK3NsjjfbB4r5q8YuM,bloom.,2pe5XkD5nb5nTQeVsPn4uD,Withered,0FjBK3l1bTQUfTBb0N1d8Q,21,https://p.scdn.co/mp3-preview/c0bcb70fa119e0fa45b0d3f0ad9e149279c29515?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Listen To The Rain,0biYjBnb7YVtD4xCuXnAGG,Alone I Walk,15KhAhIzQCzIDNDq1QXAGc,The Hardest Years Yet,5E7poYFGzid178kNqDAuRW,27,https://p.scdn.co/mp3-preview/690dd152d457e4eb3890f9196f1cdb4182c40170?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Alone with You,3jLj7HQNl4LXc9vNuwcFyw,In Her Own Words,3NBHNlkwYabSLvnisILPSI,Steady Glow,7xXGabh3KEE6qt7pk9iro3,50,https://p.scdn.co/mp3-preview/4a50be3081d68d44e5da019efb4938309ec49bbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Carousel,12q0i0bpDwti8pIPtqO4yQ,Eat Your Heart Out,1Zj2DULoJ6vo0FZ2R8HM3i,Carousel,6jkeginjmIxiNCDts3bltL,4,not available
56,YOUNG,2UDeohFStEDL4GAXm2Eqpn,Grayscale,6Xq9CIMYWK4RCrMVtfEOM0,Nella Vita,5j86yI68MjgZLKaYsL6Sd7,50,not available
57,One Little Lie,1CtlK5ajs2MVmZyq3vrM3A,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,One Little Lie,14VYAGYdnzIPtV5F2JxfwH,51,https://p.scdn.co/mp3-preview/827b6ef3f82162146110df5f4b458f7ed07bd149?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,These Streets,08Aw51tvt6ZXNiKACB9yGH,Have Mercy,2UvzehEVGcYTPKNwJSZ2kM,The Love Life,2rRq896YwSkRE72jHZMxDd,35,https://p.scdn.co/mp3-preview/b085cc75c461aaa5e978b86a6146eb940dc56f8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Lavender Bones,27wvnSTpsyS9k06aDtXvt8,Stand Atlantic,1W2Fv4YUnjC8hx2qQd6fGh,Lavender Bones,6CvGI6E8zQzbHLXPEsWnnt,49,https://p.scdn.co/mp3-preview/5bd9a9b4938f00c0505ce167c9004d0a594a32e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
