It's ALT Good!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
58,Falling Down - Edit,6jRNplNtd8xT0sc4iUJyW5,This Wild Life,3eoazmwspxeKFenMP1PQva,Falling Down (Edit),2biOtCehtzEDKjyZH8AbMv,46,https://p.scdn.co/mp3-preview/cf22e3e4eb76dc6b53166394eb72907704c28299?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Summer Sound,0n5M23g9jUnTrNug9b7bC5,ROMES,4b3MzzOReTrle64Pxc1r9g,Summer Sound,3sv8paW4GgIta7p6dTT6vm,46,https://p.scdn.co/mp3-preview/34bf7e7ee9badaaeaf4ece41ddf8c8e1cbd107d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Stuck,7wRXGqMQpTacDEGbJDg8tw,The Aces,2AmfMGi3WZMxqFDHissIAe,Stuck,0ij5wkWYJKSxVzROOPRzdU,5,not available
61,Rust to Gold,7aBxbf4wZexBS97uVQD4iT,Council,3N7z79Am2V9dxOxd8K2HVo,Rust to Gold,4hKLCaeEKV5iMmnXvB6bJ4,4,not available
62,AMERICAN GODS,2S9VWK6M5pOtHRJP2K5Ane,ONR,1BGDL6ycDCoa3STlZtCnHi,AMERICAN GODS,2KDJHMGPsLoBguzPbdwypF,47,not available
63,heart,3yMfLvCSYdEiy6Ejw23V8U,flor,0szWPxzzE8DVEfXFRCLBUb,come out. you're hiding,3PZRrrwPzADgXEFYkw804F,3,not available
64,Favorite Liar,2fOmsaSjCncWDVJ1N8S2TZ,The Wrecks,458aS6ALc3QkzwfR5USt34,We Are the Wrecks,6erK5SKLmAcF78KQFh1zIA,3,not available
65,Good Feeling,69mUNSadIZmIlrpAqss2oB,311,41Q0HrwWBtuUkJc7C1Rp6K,Don't You Worry / Good Feeling,74ULHyuYbRNDVhLzp81L76,31,not available
66,Greek Tragedy,28C4nmrd7BTu0XbOmaTHZr,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,Glitterbug (Deluxe Version),0n5sLhq91buJwIW4j3Ji0I,58,https://p.scdn.co/mp3-preview/cceed633deb2affea32516879af237731ff1436d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Pretty Way to Fight,1IqCYpT2uKyCEfH76Re2rr,Knox Hamilton,1XyjBsbZBunXsYDTkaYtk9,Pretty Way to Fight,1kMQDvVlFdDjQZjy2b0vQ9,4,not available
68,Saturdays (feat. HAIM),1B63r7wZYOff831F0ysehg,Twin Shadow,6fLrPFLWLSCrp7gcTZXcKb,Saturdays (feat. HAIM),70mHfmYEWVmIeaPnnn6c3F,10,not available
69,She Said,3KNlsVwlMjjKn1g2tTmiIe,Sundara Karma,4fgXfJCQnK6c44u4KzAtQP,Youth is Only Ever Fun in Retrospect,3V4lfN3JEhYCagdxhijHp8,5,not available
70,Killer Whales,0qnOjNW04qpcgXqD9dwru2,Smallpools,4iiQabGKtS2RtTKpVkrVTw,LOVETAP!,59xqFRG2IgFTsZtQ73yIp6,56,https://p.scdn.co/mp3-preview/f83a47de0afb5661a9bf4adc03c13ef617610788?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Hold Me,39CKuYzxf225JhC9Ht3Ghx,Vistas,5YA1c6yVkPnflTLMfOgjzc,Hold Me,77l525amyRGkAbQOLRVPx4,50,https://p.scdn.co/mp3-preview/30b3265550d96055a6b1df5b7b649123b61afe95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Cry Out for Me,6ktLXrudYZ8PjQvu2Ncoth,DREAMERS,1FgsVeOhRYuSw2ghkIXV0A,This Album Does Not Exist,2dtruUPZ49oSh468hKErtf,48,not available
73,Hometown,66UylTxzOOjnl7o2Bj5JkG,Mainland,1glS4fPaSC5EgMTnOsiXif,Villains,7vHM3n5xFLYOzsEpEVTH0z,46,https://p.scdn.co/mp3-preview/7d7d41d022b2989753c6ae83ea2624845b7166c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,This Party,7isDQC5HH4ev21Ma6L8UGg,Houndmouth,7EGwUS3c5dXduO4sMyLWC5,This Party,7sXYHSchuHIHgBY9mIG1Xn,48,https://p.scdn.co/mp3-preview/abe03a60b1136c9afb3c12dd37bf4a54953cbb35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,My Heart's Always Yours,3SLdLEQ8xz6limRM51RpZ3,Arkells,3ShGiAyhxI6Rq3TknZ3gfk,Morning Report,1BPpUmhXJdmDVa07f1qQVz,49,https://p.scdn.co/mp3-preview/27651c41e6897074fbe22e48ce0d1c9f6ee26e92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Xo,07szho7oBzTazuymjyzpLg,Nightly,3qDMrpZHtZEtVl5i1l7hP3,Xo,1eQa2aJyNUJw5siUNwNDEx,3,not available
77,Hall of Fame,5AuMmTdIsWELqlI6GmSho5,The Howl & The Hum,3EQ310YOzcS1pJqiaoDs32,Hall of Fame,5wTKHzsIPtoGWi3x4T9aJi,47,https://p.scdn.co/mp3-preview/5afade88d8aa50048cdc798fd9f271228accae00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Flame,1xa5lmjPwKj1LVXpxM7HHW,Sundara Karma,4fgXfJCQnK6c44u4KzAtQP,Flame,4uDAyNO819g7fiZBdkHQGw,16,not available
79,Lies,69L4OE9RDpoRSBbp9K1vJq,Culture Wars,0DoNSZa1R1DV69oY1djlbf,Culture Wars,1xxaSUWq0IGLG2trGgUG20,46,https://p.scdn.co/mp3-preview/8d24c5cadae2a6c9f4f0a8968d75861d8c9a705d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,I Wanna Get Better,1RwwmiVtLAtPmxAqKVfwgG,Bleachers,2eam0iDomRHGBypaDQLwWI,I Wanna Get Better,4JaTMQFdRy5TfEKs8M9Doq,55,https://p.scdn.co/mp3-preview/b8a0a0e4d97ae2c5aa73761516751680079458c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Sweet Disaster,1cCF6PzZddhyJgYjN8w5qu,DREAMERS,1FgsVeOhRYuSw2ghkIXV0A,Sweet Disaster,0zwgTEEMeWgAYOZRRNToC7,5,not available
82,Dancing On Glass,0aersVHlGGXcHeRvHtuaSt,St. Lucia,5WId4o5jdGVhptNU0uqKxu,Matter,4qH5TQZxM5v7tKT0E09WAK,61,https://p.scdn.co/mp3-preview/8d6940db7339868c9f2d42308d06efe10493dbab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Safe,72X7mJmnx6pHyRWvtelVkL,Bay Ledges,7FhRUp59cBzPaxobsRY1Nc,Safe,5XM0wy9B2z0qK4pBXmhIcr,45,not available
84,Electrified,27WCn2AXGHCTsZkHJsX9vX,Just Loud,7xAO3x13zwxGoIM7N3pXL9,Electrified,1Iuj2IGTVhiViVZ8joSn7p,4,not available
85,Cardiac Arrest,3pxDFUN3LrSGq6RrUKHtaG,Bad Suns,0YhUSm86okLWldQVwJkLlP,Cardiac Arrest - Single,23akFIxImoRSj5ncdx0ZMM,3,not available
86,Fire Alarm,7owfaYY6CFwqQAv2Xih9CY,Castlecomer,7tnWJfXaJmFO6vv5WFN2K0,Fire Alarm,6Km8vSwtJxgwqANRxnpvo3,5,not available
87,Hometown,5osCh4skRIcJDxXn33GskV,Luna Bay,4GxGE6FCYDdHtcDzRL7TYh,Hometown,4IIU1imTSAX7JwXkOXBwkr,47,https://p.scdn.co/mp3-preview/aad3f4455836698b5a3f55cde99af145ceaf3069?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Too Late,5gGlNj9R3q1bOi9fWUX4fv,Half the Animal,6oHY2GHcrGTZmLZxt2xswT,Too Late,7CYYhNHWErrFFr9TuI5nl1,43,https://p.scdn.co/mp3-preview/0022815c41bcfbf562457ce5cb82c31df50ad1c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,The Outfield,3O2hDxP5BeV4bH99nRvgym,The Night Game,79QO0Xmn1dZhvaLicS2Yrs,The Outfield,6yKzyZeg8EUYBZbw7M2f0V,5,not available
90,Chocolate,44Ljlpy44mHvLJxcYUvTK0,The 1975,3mIj9lX2MWuHmhNCA7LSCW,The 1975,33ZqJmmqFE8Z7Ak1Lxbnfb,65,not available
