Wochenende,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
43,On My Way,3fDTDf6XRXgrSR6DpXLS9E,Sophie Francis,0NQJm4Wlz3rrDJGlQ28L81,On My Way,091VRzGkdNPwBHmVkKMw10,60,https://p.scdn.co/mp3-preview/e96865a435da69504353a1ff440243254d7653b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Vertigo,76b2VWEmFHmAgf98EkwD44,Mushroom People,4ziIr4aQsNzHu1uJssQAUJ,Vertigo,6OU7J6aEkorieWKd7bUH4K,42,https://p.scdn.co/mp3-preview/1991f0ac02dd782e2b46fe9ddcc0770ed209c95b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,All Night Long,6RVHqpGf18CX4OJjCCAx0u,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,All Night Long,1TGQx5fMjrUB1FJUsV9UPP,26,not available
46,Never Alone,4w3InOZmItJiSlhnkr3lv6,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Never Alone,3MdfIe4hKDL59tOpVwC7DW,67,not available
47,Brave,0GRoERSBBky3YgdKW2w2Vc,Don Diablo,1l2ekx5skC4gJH8djERwh1,Brave,1vlt3ZZeHbtRWKOFu45TEJ,69,not available
48,Overnight,4ox38ZsL2D3SeiVHGGjBeK,Aérotique,6qOzyug9zoGuMHTmErJ6zo,Overnight,5AaJHmurV821y3owWU75FE,42,https://p.scdn.co/mp3-preview/5bbe7816aa69ec88f012b896ed78aa17735b7069?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Love Like This,0g8l9TRpOqvPUbg0EwH9Xh,Koni,3BETdCqKlraxPwjzH4JUIB,Love Like This,4DCTJKiuTW2EExYwljTC7T,52,https://p.scdn.co/mp3-preview/bed5470466ee16668db0143fddebf73c2ff45375?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Try Again (feat. A7S),745LUoE5rQZ51Tz4WnBoNp,Tungevaag & Raaban,4cSYNpczcvTUpnPMFDLsIc,Try Again (feat. A7S),1u3cv5nL73WeTFy0JV5H9F,62,https://p.scdn.co/mp3-preview/c59a2cbfb3a8daf0dd67b96dd481a71c7932e2a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart,0agqVZjOqVtqHkq3pTFPXb,41,not available
52,When We Were Still Young,14VpDEKSX01feZ0Tt9kc7w,Klaas,25sJFKMqDENdsTF7zRXoif,When We Were Still Young,593mhCmRU3NrGGKcLCsTuV,57,https://p.scdn.co/mp3-preview/fb0c79b59a099dfaa79f262d119226bc8e997896?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Deep Inside Your Love,4RYskrjQ56quYK8ITVY2qV,twocolors,7ACEUD7UsmmXrnj4OLt8f9,Deep Inside Your Love,6rKnZibP5ep5F40pBHJw2C,33,https://p.scdn.co/mp3-preview/ec28e8afe30bc9b84cfadccaf4201418b3361c70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Hit The Ground,7qUcpBXMYDrDw23CtQOraF,Aérotique,6qOzyug9zoGuMHTmErJ6zo,Hit The Ground,0AE3cDJx2yT1thkq0emXZL,45,https://p.scdn.co/mp3-preview/1ef4f831266247e70c8406e8ee40d852ad2785ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Somebody,7CIx6zasWwRTzu9TmuIzAN,Jonas Hahn,7tBpLbevy1QHXITbLo5SIn,Somebody,6Uh85ALlE1rEhwJ8lQCEhg,48,https://p.scdn.co/mp3-preview/2b1c23f4b283888f1223a16fb767146f39ec2c38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,No More,1GbeJwHvcWOELjFFesFvYe,The Prince Karma,6ew7qRw24oov125Oly8pFD,No More,3FKKvVxJEnOI9Y9GxrUzsq,42,not available
