KEXP's Top 90.3 Albums of 2016,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
53,Gold Laces,6Exl7gEv9PBSHl4hutQVf4,Júníus Meyvant,5IL5awl9gUcb2ez9IgmW26,Floating Harmonies,4IxrxrXQ9mSiHWXCRieOhD,3,not available
54,Eye of a Hurricane,4paoehlfLKXZPh739wkKia,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Dolls of Highland,3viNAArNQnjmgJiOgmVzPr,35,https://p.scdn.co/mp3-preview/32e742fb1ddbfc797609ef6fc5343e3fcfb0bc4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,I Have Been to the Mountain,0aHXAngJ1PQ2vCtsnFgR5P,Kevin Morby,6fxk3UXHTFYET8qCT9WlBF,Singing Saw,1s8RmcZjTuvDt9eQ4MAKLI,47,https://p.scdn.co/mp3-preview/6822ac08bc40c9bc4afe56ef33e4b6a5471e379a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,No Woman,1CLmFKW99S8eJrebO3GB04,Whitney,32aUoW94mJ7xTJI7fG0V1G,Light Upon the Lake,5yMCA6HdFAeL1aqUjxO3MO,66,https://p.scdn.co/mp3-preview/8a17974e9e7b565996055f4c6d0d0f9d45aee429?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,"Do It, Try It",6Yzh272O4hwZHjrnXYhL8a,M83,63MQldklfxkjYDoUE4Tppz,Junk,0iSRofVrTOCOs841JkSgwk,45,https://p.scdn.co/mp3-preview/eb1dc68b2fb35905f059821b1dde3d81fde06706?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,I'm Done,6YpMM2TjmmcYl558yqTORi,The Julie Ruin,3jCDV35GjiUGWYWKgMd9CF,Hit Reset,4D4vLiYKRycKzBSX1Y1sjg,0,not available
59,GOT IT GOOD,2qUZliZ9NHUYIAZqRNe6pZ,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,99.9%,1dZZh7PvVgce1DDsDPzy8Z,62,https://p.scdn.co/mp3-preview/f7a396863fee93198d4d6d0d55d0d2c669452a63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Mothers of the Sun,2OjfWicW5RmrP5tKIcWrAx,Black Mountain,00sAr10UTV1JZtHqxsLVn4,IV,1iRr9SxJtbenO0gygNltV7,42,https://p.scdn.co/mp3-preview/aec6f07674194f2e850905c237c9e5c9966ccd0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Voices in My Head,3iQQB8TvX5a1yrDsJ5hawa,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,Patch The Sky,7g9g9pBaW9SqF2FvH795Xu,23,https://p.scdn.co/mp3-preview/61b6e6b8bd61b29e0389c3204d7804b41b0ee2ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Adore,43v9n2WUgrDi4Z4wiEEV8h,Savages,1WFsBUAgQmrGQQEUyFKS60,Adore Life,6c3UkztmOmW2GtunSNN3NZ,43,https://p.scdn.co/mp3-preview/1687bba9d57dd70761885708bc7ebbb09594464a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,All We Ever Knew,72zmwnbXjx9fMUjw3mbDSs,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,Signs of Light,0EFitK3T7hqin7iGMbpltM,68,https://p.scdn.co/mp3-preview/562d2eaa1d85e12345410d31d54e73c952d80ada?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Believe You're Mine,4DBRVKeWMoyfjfjUDu7hJd,Nada Surf,11zHPjHnZN0ACA50rSnTcy,You Know Who You Are,5QHdJQ5xEEbiZdecRh4tsl,2,not available
65,Awkward Waltz,3OfNYmm0sjyz46XD6I0I0r,Acapulco Lips,0k2Ypw0hHVRbZ0VVDCF84Y,Acapulco Lips,2qtUW6MuJIbOZBllvV1Kod,17,https://p.scdn.co/mp3-preview/7c7a27d31ff10d83449405a6b7fbecc6215373a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Quiet Americans,64xxGlN9EMaFGI4Q1VwVbj,Shearwater,0CoiIc6ZLBvF9Cjmb1Cj49,Jet Plane and Oxbow,6C3nCWp1EnjUENpFv6AKYi,31,https://p.scdn.co/mp3-preview/d46e1a732188f7c16567bf25b6be4d00ced1186b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Nobody Dies,3j4kcoBVfe6rGY2517OJ9f,Thao & The Get Down Stay Down,2dn0CGCWvtrwZ66bOeLNb2,A Man Alive,2MZJJ0Z4WH1CTm0RoeHjGw,38,https://p.scdn.co/mp3-preview/34464774d5295f88aae4d87b4aedbbe67dc97fe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
