The Most Played Albums In KEXP's History,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
67,Bump,0PgzKoH3nlV9ONkbVaxHbF,Spank Rock,1LcLsIWOl1Z8vo1wl6bxg2,YoYoYoYoYo,2DH6vbO0La9fSKq4ZlDvag,30,https://p.scdn.co/mp3-preview/d4a9f41f0e5a9c55c8c67ff40fff0f483ff3e62e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Policy Of Truth - 2006 Remastered Version,0C6EIiQu8CS4eYtOCMEiAd,Depeche Mode,762310PdDnwsDxAQxzQkfX,Violator (2006 Remastered Edition),5g3Yi15plTSMaq6tYiuw8p,57,https://p.scdn.co/mp3-preview/f22fcadc8914e8619e6422c6d30a8ab9fc840298?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Make You Feel That Way,4TlYG3mKosVWfGbb9VfDh3,Blackalicious,42Np3r8zXnaKcjLQsQSjyG,Blazing Arrow,0DyXkWHnFMIJSuHfLgNfcc,51,not available
70,California (All the Way),1B8hYc78Uzh1FxK3wJ8GnP,Luna,2AACqFGo8offvHCKGvrWxq,Bewitched,1jSro6LKh742EVNqNajgEJ,32,https://p.scdn.co/mp3-preview/e270bd59bbd1620d342468230f6c2c7bd11076cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,She Will Only Bring You Happiness,54Q9TTP1R3migbEbf1Kd4d,Mclusky,3xA9AB0f4BVjsSlyQc12iE,The Difference Between Me And You Is That I'm Not On Fire,00uFwW2fbNHu2xuF7CuYBY,30,https://p.scdn.co/mp3-preview/154255cae06e91c7a341ba3fa686372ff5743a3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Do You,08a6PhXyXeN3lv1DCKW9qY,Spoon,0K1q0nXQ8is36PzOKAMbNe,They Want My Soul,55TZx6GWm1hlEbRgkGRjma,52,not available
73,Hang Me Up To Dry,3IXRdLsQib8m0hBbQpe7T8,Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,Robbers & Cowards,1LTbo93CjLo48yNP8Ysaz5,63,not available
74,Under the Milky Way,1RCtHLyq1xIbgGMrYRrKJ2,The Church,2ZfogSsOWP4mVfEqfpLXCt,Starfish,3gz1CZk5wFg2inBuUWDa8x,60,https://p.scdn.co/mp3-preview/c67199a820456dffacb2c8911cb51f054dcaab39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,I'll Carry You,41HEX2auJlfxA2TiNwtWJg,Halou,3rNX4fCtNvNyDcLhfpA1NN,Wiser,495WZCALKntJP7tDbwHQHg,0,not available
76,Dance Me In,7mhFmu685GsqoNp0Ge0GY8,Sons And Daughters,1PrFsWVNcI16jsB84oYbAM,The Repulsion Box,4JZFfHQgiNk3idDxSOGUsa,6,https://p.scdn.co/mp3-preview/59bf0b1710da156f2b7e926de0fe24d049393e9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Waiting For The Sun,5Hr65LgAHagr9Jx4RsaKAK,The Jayhawks,2UDplVRprMbazU74Hq8OLl,Hollywood Town Hall,4VbThnnKaZ94Z6DwKeG4Zm,29,not available
78,One More Hour,3ccsKRKg0NEfiDaeYnIauK,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,45,https://p.scdn.co/mp3-preview/d92483bbb09641b190ae9346ecddaf79518ac61e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Stay Where You Are,3GDyiNsF5OCVLP6Bbz8qh1,Ambulance LTD,2NGHctlXICLazbh2JgBqlw,Ambulance LTD - EP,0twZnVDGtFJAWe4GrQF3ab,21,https://p.scdn.co/mp3-preview/e494fa899f1130fe369000fa2b1b17667861ea7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Come Close - Album Version (Edited),4v18SNkYNITlYBrJjCT8If,Common,2GHclqNVjqGuiE5mA7BEoc,Electric Circus,4S8Ehf23v6IrHSWH5pWEFa,8,not available
81,Dry Your Eyes,3PEx44by2Pe7E6M8tgqE5N,The Streets,4GvOygVQquMaPm8oAc0vXi,A Grand Don't Come For Free,365ETCJBUmEWroc4UGBS1u,55,https://p.scdn.co/mp3-preview/7331ac618622630033c5ffd3c99e686ef5b6982d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Double Vision,4Vp2mwjW2OpS286oOsyl1n,The Ponys,5rlbX9ACJvUaGHJTHQSvVr,Turn The Lights Out (Standard),0cbmTNYe474spEajWHpf2K,23,https://p.scdn.co/mp3-preview/88243022fcb69dd1f3044fb86eafcebc1b9226c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Floating Vibes,1mxqozpIELFEnfwEzTdjLs,Surfer Blood,0IlQRCafsMrd0QkTRBU6n0,Astro Coast,5ToC9VWNXK7smeo8b5EvCO,47,https://p.scdn.co/mp3-preview/6792f679afd5393a4c4cb275cc4e4ee758e11822?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,The Concept,702Gf3Gh3NsC1KbCFrlrpe,Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,Bandwagonesque,4M6vPZ4hQdOeH07D0JO2JQ,38,not available
85,Boneless,51unSptIhsWAjmz7vDaPoa,The Notwist,1o4xLcugkCtDDOw7POAMha,"The Devil, You + Me",4N5jSCfepctP8qYrhqaBdH,13,https://p.scdn.co/mp3-preview/ee835a2e8a1adb57016fdc78836df215d8ed64c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,The High Road,5cwN1htZyoWqZCc33f3RfE,Broken Bells,6dgwEwnK0YtDfS9XhRwBTG,Broken Bells,0X7WyEKdm5afGj1fmD7Blx,67,https://p.scdn.co/mp3-preview/5db92ef35b68e5a2452e5768b58c7fb402701e00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Reckless Burning,76iV7PkPmqllhbOQlUPZTi,Jesse Sykes & The Sweet Hereafter,02ojXsd1103Qc2uU5uhJHZ,Reckless Burning,2knqSBcOWs653RwwmDzsME,0,not available
88,Time Bomb,33BxGCIZmBek8znKS4KF6w,Dismemberment Plan,2JpHk8yju1DH1l3c9sXzOS,Change,1bsZo3YzTnR29KdkxfiOCa,31,https://p.scdn.co/mp3-preview/94bcab13da30af9fbbffc786110dde43c5ebbab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,The Ghost of Old Bull Lee,5tdtSufr842ad1gvLBqqfa,Arthur & Yu,26wNf74KJuJNrmWhkLSTMK,In Camera,2AHCLnO7PeiRdmF9Tk2lHi,0,not available
90,Time Is Running Out,2takcwOaAZWiXQijPHIx7B,Muse,12Chz98pHFMPJEknJQMWvI,Absolution,0HcHPBu9aaF1MxOiZmUQTl,69,https://p.scdn.co/mp3-preview/b326e03624cb098d8387e17aa46669edac0d025a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Pale Blue Eyes,2qeDTMNUSAF9OBYiXkuSqY,The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,7IbA4TYrsDIGa4414raKPm,8,not available
92,Do You Want To,0vek0LcCbvcMtj0GkXMMJy,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,You Could Have It So Much Better,5ESRMcTy8mXMA7sHhlXM40,60,https://p.scdn.co/mp3-preview/3207b3a46d8e81509ad36b38cfb658f8d319f22a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,So What'Cha Want,5h9mwffuipb2TSeTFp8Pu0,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Check Your Head,0cXrT5A2aHEQEG0f1ZBS05,10,not available
94,Caribou,7noFstGWAG1n002hb6VKsY,Pixies,6zvul52xwTWzilBZl6BUbT,Come On Pilgrim,0YXEvIGfgX8LKrSSgnciZt,49,https://p.scdn.co/mp3-preview/1b247149546a4b81c0edf3d021666c8198347d61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Chemicals Collide,3a6RdOii7yjrpuIeWPCmiV,Cloud Cult,6R1T5YklzC9OFugGt8RwOD,The Meaning of 8,5qo5qaPk4ofMQl4I38NqyH,30,https://p.scdn.co/mp3-preview/ef15cc0adf505ad7e623cf804ccb2b04dd98e7ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Crimewave,3yQFmN8A5S8Kf1nUJuvb01,Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,Crystal Castles,5nM3cUPxqg7iqjaoyeCWtN,62,https://p.scdn.co/mp3-preview/2870f47dad76a55ee12bae7efd8b1133937d1edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
