Party Bangers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,Dancing On My Own,6aqNCrRA7vs7v6QvRpI50t,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Body Talk,0le9TO3kU69m6iWHTjNs9Y,64,not available
42,Upside Down,57Y3UccJEJqT8w8RWkUAz0,Diana Ross,3MdG05syQeRYPPcClLaUGl,Diana,0Gy4phN6Xwx4uyskE7Wkls,66,not available
43,Le Freak - Edit,6Lphpr9Z6H282Sguw0dUWa,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Les Plus Grands Success De Chic - Chic's Greatest Hits,0VpPfXytCLshrjZFHKQHyc,53,https://p.scdn.co/mp3-preview/8dc61ff9b917f8a52ab01ec8bf02f54470664321?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Superstition - Single Version,1h2xVEoJORqrg71HocgqXd,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,The Definitive Collection,4E1itnJOhTMRSATNaxh0Sq,78,not available
45,Got to Be Real - Single Version,3eudp9ZxZAGaDBOuWGrW2D,Cheryl Lynn,6UfoTQXaV3DuqtDVjZIxwZ,Cheryl Lynn (Expanded Edition),059jmsqbxhu2n78LMS0H3P,52,https://p.scdn.co/mp3-preview/d12ca89225efb287cea75249e7a8911b1438837f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,You Sexy Thing,714hERk9U1W8FMYkoC83CO,Hot Chocolate,72VzFto8DYvKHocaHYNWSi,Hot Chocolate,10oMdAuUD0Tcc4BowCWUni,73,https://p.scdn.co/mp3-preview/7017e809f2d2961c456122b625dbb0ad7792998c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,"Rhythm Is A Dancer - 7"" Edit",4RADreHMvMkZwsPgPr9z5c,SNAP!,2FrKQPjJe4pVMZOgm0ESOx,The Madman's Return,2TrNT4qm7qDIRTUVn9jBW4,69,https://p.scdn.co/mp3-preview/3f7952e47ed903b908644d13b8b79807963c8736?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,I Wanna Dance with Somebody (Who Loves Me),7Bc0S4rnNF06apWGfK2S3G,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,80s 100 Hits - Volume 2,56QkBFCRUIGCMWnKKKheXC,39,https://p.scdn.co/mp3-preview/92efa9f34d4a48429e9f8f41b9840a8095fe31eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MIA (feat. Drake),0p0W4RXcnc59jgatcdZozO,85,https://p.scdn.co/mp3-preview/1aa25af8a24b4c54dad8958fe3478b78ce5088bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,I Love It,185Tm1g5U7eMOrm3m9SQUh,80,not available
52,Jump Around,3TZwjdclvWt7iPJUnMpgcs,House Of Pain,0AuW7OCyKfFrsMbtHrYgIV,House of Pain (Fine Malt Lyrics),2z37UnazitI7yDEF0IjE0v,75,https://p.scdn.co/mp3-preview/8c0563c907c9415db2c1f73220340325d27dd84d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Roxanne,3EYOJ48Et32uATr9ZmLnAo,The Police,5NGO30tJxFlKixkPSgXcFE,Outlandos D'Amour (Remastered 2003),1H9g6j4Wwj6wh6p8YHVtkf,78,not available
54,"Can't Get Enough Of Your Love, Babe",7LaCgCP7FCol0RYwMDQKwK,Barry White,3rfgbfpPSfXY40lzRK7Syt,Barry White - The Collection,6l1USwfJOcRGgJ8LpiRr8m,61,not available
55,Boom! Shake the Room,6l2haiCg21JT5KS1j0gUoH,DJ Jazzy Jeff & The Fresh Prince,1mG23iQeR29Ojhq89D5gbh,The Very Best Of D.J. Jazzy Jeff & The Fresh Prince,5N9QAscaF9QeZS0a4ZcnwG,41,https://p.scdn.co/mp3-preview/e287cb8bfff63d1f10cc9239f20a47ce9fdeab7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Ain't Nobody,2NVpYQqdraEcQwqT7GhUkh,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,"Epiphany: The Best Of Chaka Khan, Vol. 1",3qeheeurjW0lNtf9d7hJLe,71,https://p.scdn.co/mp3-preview/da3c4d60cefc078b44f5c99cb3cd609faf08652f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
