Chill Hip-Hop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
30,Flex Up,4KA2BWwYcC8ujPvCT3BnWc,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Rich Forever 4,4dLLebdeyxmLDUOmUgmkEg,62,https://p.scdn.co/mp3-preview/998b9c470acae2ff19219515d60ea8eeb153f20b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),6ya8ejoKgw906Y8LWclqrp,Nipsey Hussle,0EeQBlQJFiAfJeVN2vT9s0,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),6a2c06GAsKigzV53VyzBXk,76,https://p.scdn.co/mp3-preview/960bd4ae3b108ff9d9f01981e216591c0b1c880b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ripstick,6VpixOqGbywfTDhrUAT6S0,99 Neighbors,5uhqkMm8dyQvX83kl4Znq0,Ripstick,6mYrasjAeYYHETr84VTOVm,55,https://p.scdn.co/mp3-preview/cd58aeca0a809740af383373b9ced6e3630e3c3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Florida,4hE6GrHXNiXwOkhVoU5odK,AQ,6rYTTx9HCMsfRL3GBecubd,Florida,0lCGoCCYtCO70o49rg50Lx,46,https://p.scdn.co/mp3-preview/3d98261801febca88b0de6c44b923bd07c76f051?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Neighbors,2EbQzx4SPYv6Aup9mhP9U0,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,4 Your Eyez Only,71DEqZQPK1OhGtZ9bNtbcc,6,not available
35,Kids,2S9r3he7RP6j6ptiQGVW6Y,Rich Brian,2IDLDx25HU1nQMKde4n61a,Kids,6hm2ALx7WLhe08ghG1fcVa,58,https://p.scdn.co/mp3-preview/c3063da6d4592301fa951228128bb3a1b8101cf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Mixed Personalities (feat. Kanye West),6vWEAOUSxohKxhp0K1BsxL,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,We All Shine,09b9NC1oQbYaHcacgXn66k,81,https://p.scdn.co/mp3-preview/0bec1241dc853706ed7c16650063e2980f15be61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Last Time That I Checc'd (feat. YG),39xWBHPM4E9MwzEy5gbM7p,Nipsey Hussle,0EeQBlQJFiAfJeVN2vT9s0,Victory Lap,6rcbbhcm8Os7EiVRHP9Aef,69,https://p.scdn.co/mp3-preview/3c1aff4256822c342925cce6099ceaa14de0ca27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Shea Butter,1ihqApqxH7mSji2j3t4knV,Pardison Fontaine,7Gkyjs2OYQpJdOvvmwIz2Z,Shea Butter,2x1cspzGZzVUNCHDsPzeV7,54,https://p.scdn.co/mp3-preview/f178e2a38e074f6ddd11821208601d1741b6ca3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,Young Thug,50co4Is1HCEo8bhOyUWKpn,The London,6p9Y1K9yu3ojyS8fBJXUnp,89,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,INTRO,05WepN8vrMLJG5r8XRdLeL,DaBaby,4r63FhuTkUYltbVAg5TQnk,INTRO,3HzUH9fh5DExUQXfIAt9wI,79,not available
