Born Under a Good Sign: 30 Years of Merge Records,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
83,Your Hologram,7kfgPEOKMQgT47DjU8fLbs,Mac McCaughan,3pLUCmcxLXGeLoYI5rw3O4,Non-Believers,4RPRmfSobFWkd1eFEbMKwy,5,https://p.scdn.co/mp3-preview/06339f4662a96aaff2b8afd78b578f956e21d469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,La Loose,6hRWtIqE02IitQmV189hwg,Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,Ivy Tripp,0Q31RwMIh0WOxqJDa0F31q,32,https://p.scdn.co/mp3-preview/3f1ccc7dea7e2d6ee6fcf67759fe08065446f241?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,The Legend of Chavo Guerrero,7hyfYgXMS5BumjAjY98Xoe,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Beat the Champ,7HWC61Sl93gYdBqCV5EIka,40,https://p.scdn.co/mp3-preview/cbc08fc3848b7eda2c12f9560e5a5e50c3d2fe1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Back to You,7kYmHyIdJuHal551LnZuGC,Twerps,4vkIW79PRnJM8PNylIMTQB,Range Anxiety,7HvsEhwXQhIGSa07bpyBmp,30,https://p.scdn.co/mp3-preview/836bf93cf370a0826c329b23b999724a06ce42cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Our Love,0u1R2vf95rA1LWNQ3RGbuH,Caribou,4aEnNH9PuU1HF3TsZTru54,Our Love,734sn3av4kW6UKBqwKitEb,20,https://p.scdn.co/mp3-preview/feab27f371cee7cd85ee6c9d748f2a0895ba39c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Beast,0JXdOLVodoO1SKYqHpiEk8,Ex Hex,2LdMozrLZExZ27oOAnUgkb,Beast,2rx6zwM0PJ0Hg1xDt4WBeT,7,https://p.scdn.co/mp3-preview/22a4551295064a035d1ab5b084254e0939659fc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Some Things You Don't Get Back,0jflOkAglxkzU5RISsXjws,David Kilgour,5S76x1RQk1FgHwX3y4giOO,End Times Undone,3o8IZtVmcTQ3yjVdN0vXDf,7,https://p.scdn.co/mp3-preview/b36ccab856cf9865b35d729cae61128e4dde336d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Chem Trails,1K1CTtmixdOaPsIyTZyDQY,Spider Bags,4SDSsw5LyYBgma3VVpFo5U,Frozen Letter,258Vbgmsxhh7YVA2RxHC8w,3,https://p.scdn.co/mp3-preview/9132b950455365bbf3f0ac77549f514f87372a64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Don’t Wanna Lose,52BLYvoNNjlbNtt3YtuKCw,Ex Hex,2LdMozrLZExZ27oOAnUgkb,Don’t Wanna Lose,1I2uKCb2kDXWBVUSGZT9XB,10,https://p.scdn.co/mp3-preview/2e33205f30281cf6ae7fafe899ec0f6914bbb02c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,My My,0fVOIu1OQI6xxEYnY4hDaM,Reigning Sound,1YRBRIN8d5Xa6vU1OKUc4t,Shattered,5SEJxl1hYnNjyNBpPpHTMo,20,https://p.scdn.co/mp3-preview/5db7ed65c948f3e11fcbe19002ef1174f722b812?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Saturday's Song,0Vn2616h4GTc6QDA5G8i92,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Saturday's Song,2rnHa3L9WOQesW7TTcqck5,12,https://p.scdn.co/mp3-preview/ff0f6d5473cdc1012943d4049bfe3a416612c45c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Can't Do Without You,7dpOCuGJOlxDhEouNQNCBM,Caribou,4aEnNH9PuU1HF3TsZTru54,Can't Do Without You,0w0dCGr6wZ0bJIuPaK2Qzb,30,https://p.scdn.co/mp3-preview/eb730fb8a8330b39f062d9da9935daa6af11b232?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Land of the Freak,29f6I4KlKwl8kdS4ZF2O04,King Khan and the Shrines,36cEnU1vYfohStmnt8y3T2,What Is?!,61EdINjmviAMvhHJdNOkRB,34,https://p.scdn.co/mp3-preview/60c615df57ebe49d175d74af71826e7f8286846b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,I Don't Know You Anymore,72mrNRtJL3kwVJP2WIFbsd,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,Beauty & Ruin,6mRpcOAReI0n7rVw25KXYP,21,https://p.scdn.co/mp3-preview/dad28c19bd6aff455d77ad47cc848a1f41a9ad10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,"Brother, Do You Know the Road?",6uot32Tttek29kec4Yw5oR,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,"Brother, Do You Know the Road?",3qvauqqdWgUfVsZBc3lMsM,42,https://p.scdn.co/mp3-preview/95e39eea2c2afbce5c4105c3d2ce5f55bf5ca23f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Bitter Boy,0km80f1MqM6mZrNEBToyez,Flesh Wounds,2QGY4kkym3ekohL4Kp0Llj,Bitter Boy,6NEO2JShFK0nDebV8JH12n,7,https://p.scdn.co/mp3-preview/4f9b215a619c7e155a8d8392ed4a69620d7273fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Whole New Dude,2I0PRPUuJBelyj6ZRVOOgI,William Tyler,3iexGtoBAyCUbxOKeru5py,Lost Colony,1J6yVRZPVUyxjlk2gs1Z8A,12,https://p.scdn.co/mp3-preview/3f448faf8a730b4881598bdb255e4d2bacb39271?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Glory,0FfDuyyJJftfw6gBqxcod2,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Shriek,0otxl4NsvWDdckqTGX8tKn,34,https://p.scdn.co/mp3-preview/8245e7f774ea863e926cac18dab365a5be5d0841?cid=fa83a2fec7c440b7a2795d600d6b2c7e
