Classic Jukebox Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
61,Lido Shuffle,2NtqZmfRIDkXJ2YvY2Kv1F,Boz Scaggs,46njgd2Rq9tZc4ZjeQMgbh,Silk Degrees,7DysI4j6UqK00RTfETKXqs,63,https://p.scdn.co/mp3-preview/21ed0f0cf23a5d35b06b336b8ba9e2d4d2d271fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Dancing In the Dark,7FwBtcecmlpc1sLySPXeGE,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Born In The U.S.A.,0PMasrHdpaoIRuHuhHp72O,77,https://p.scdn.co/mp3-preview/ca523bfc94766689529e443009bcec6b56cf8b6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Get Down Tonight,4msPRe3NEDVL6dsBcE7AhL,KC & The Sunshine Band,3mQBpAOMWYqAZyxtyeo4Lo,KC & The Sunshine Band... And More,6ufis2iWp3hrox9QJfg5Jq,53,https://p.scdn.co/mp3-preview/a4b1e550d564f7c692a9c34861d3ed1bb5f540b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,The Last DJ,0uUy3WK0JtTqhSFikqprgz,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,The Last DJ,3lS4vVIHslBZgLituEQz5i,49,https://p.scdn.co/mp3-preview/f1c234bcb7cbe35c65c463344fc91d947ac99544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,"Into the Great Wide Open - Live at Oakland-Alameda County Coliseum, Oakland, CA, 11/24/91",41xTCPghWNtr1wDCfxMbr3,Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,An American Treasure (Deluxe),0m6B5ZF9TTOR0mkxVH3DWz,27,https://p.scdn.co/mp3-preview/38164c806bef1e249ef99a7857360fce85693acf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Vogue,27QvYgBk0CHOVHthWnkuWt,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Celebration (double disc version),43lok9zd7BW5CoYkXZs7S0,66,https://p.scdn.co/mp3-preview/6f927c9da5cde0a408a6f939d07174e83e1fa2fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,What You Need,4gHRBrkGv8wMd1f3otuCtw,INXS,1eClJfHLoDI4rZe5HxzBFv,Listen Like Thieves (Remastered),7xYuZehiCGjWOb0pIZoNCS,4,not available
68,Lost in the Shadows (The Lost Boys),2IBfYLzPXSejSBYKwLW8sA,Lou Gramm,7CnmC3gRgLev4I609BrSxj,The Lost Boys Original Motion Picture Soundtrack,4KFyuG1e7yTOknV9Pm893S,45,https://p.scdn.co/mp3-preview/7594f84eb8d46e175650f8f832513c75c0b52230?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Landslide,5ihS6UUlyQAfmp48eSkxuQ,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,5VIQ3VaAoRKOEpJ0fewdvo,78,https://p.scdn.co/mp3-preview/8f5c821de4d47066ac5e68d58fd180975c86530d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,For What It's Worth,1qRA5BS78u3gME0loMl9AA,Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Buffalo Springfield,3PkdGRruLnJ9zCtANiDrpB,75,https://p.scdn.co/mp3-preview/a0cc83ddc1b9c032f5e97546651aff9ca8b7e84a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",6TBJCwgdhwkzjpSjdqJUHC,Cheap Trick,1LB8qB5BPb3MHQrfkvifXU,At Budokan,5ttDbNMKXczvp0Z8QRgKs6,47,https://p.scdn.co/mp3-preview/9d03f770bd3075f5300e4c67c9c62c40a6c997cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Any Way You Want It,71SvEDmsOwIWw1IozsZoMA,Journey,0rvjqX7ttXeg3mTy8Xscbt,Departure,2OyVtIEp7O7a6o82DF4Ba5,73,https://p.scdn.co/mp3-preview/1958083a802470daee3a9a0ed171d6a0ee3d9bc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Johnny B. Goode - Single Version,1PY5vhO3Yg2lfjIeu6msK4,Chuck Berry,293zczrfYafIItmnmM3coR,The Definitive Collection,0zIezirCdDHKPkxbkAZSA2,6,not available
74,Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,The Clash,3RGLhK1IP9jnYFH4BRFJBS,Combat Rock (Remastered),1ZH5g1RDq3GY1OvyD0w0s2,80,https://p.scdn.co/mp3-preview/670a419f7cb549ef6d3d7f9c5060ac6b8c112fa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Suite: Judy Blue Eyes - Remastered,2PuUFT13yCzUOZun94WOXv,"Crosby, Stills & Nash",2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash [with Bonus Tracks]",6vUWpE8qciYHOhf7mgaGny,67,https://p.scdn.co/mp3-preview/30ba15226c66cf93d7026dfd3971736b2d3bc6cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Willy And The Poor Boys (40th Anniversary Edition),31q47gQszFt0CddSyMksgO,80,not available
77,Modern Love - 1999 Remaster,7LyIoUsiMtelB1I0I4drEF,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Let's Dance (1999 Remaster),37KYBt1Lzn4eJ4KoCFZcnR,62,not available
