Yesterday's Sub Pop Hits Today,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
85,What Hurts Worse,1VKdel18xoUilhh171jAaf,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,What Hurts Worse,7hisI8phoynjwIKYyKIr1D,1,not available
86,Light Up Ahead (Time Mirage),2Pc50zcQq1SKASZqJi8HcL,Knife Knights,5MkIifBOV94xvm2tr6XliJ,Light Up Ahead (Time Mirage) / My Dreams Never Sleep,7B3p0bEJjQuBrNlJuqunRY,2,https://p.scdn.co/mp3-preview/90d525a277c455329b70d40c296583e86de3aff0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,My Dreams Never Sleep,5Jjjo7n7X47TzjuSlJm8ls,Knife Knights,5MkIifBOV94xvm2tr6XliJ,Light Up Ahead (Time Mirage) / My Dreams Never Sleep,7B3p0bEJjQuBrNlJuqunRY,2,https://p.scdn.co/mp3-preview/2e37d3ed79265b31f77f51563ad748c42a635943?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Goodbye Moonmen,1WevHbgIWUwnsaUzjDLV3y,Rick and Morty,2M0kKcVuBsLFH5d12pW215,Rick and Morty Theme / Goodbye Moonmen,6w5PXRZBuN4uZNQ8bZdRvQ,49,https://p.scdn.co/mp3-preview/ff8c7a9526bb2768f3e5d2c3176e47fe87da4ec7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Rick and Morty Theme,5RivmLcBlfQZNj47l7VQlM,Rick and Morty,2M0kKcVuBsLFH5d12pW215,Rick and Morty Theme / Goodbye Moonmen,6w5PXRZBuN4uZNQ8bZdRvQ,28,https://p.scdn.co/mp3-preview/54240abe4ec7c206205a8a31f3b5d84c167de933?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,A Real You,5puzt0MdiZRWfjnJFjH2tH,Cullen Omori,0P0xfWeg32j9iUTHCullrj,A Real You,07hEiVbTY9xws2FJM7Fi3Y,8,https://p.scdn.co/mp3-preview/021df35b3464710a769c10ebc58937bc0e0362b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Paranoid Core,0yNDhxZPazNSruyyzEa8lC,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Paranoid Core,00EYtZNT7PPiJt1vbPXUkx,7,https://p.scdn.co/mp3-preview/400335d02a291850e8fe4bff41ca809e960d5f57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,The Rat Is Back,6nvJKoiXaEfgeV2ozN6osR,Deaf Wish,6TDNRppZUK7nDRS7vOc9OW,The Rat Is Back,0qHSvcMixmiXI212YJZ3nm,1,https://p.scdn.co/mp3-preview/d0c7d46eb7d9e0753d7a82648a3cac094e8e9817?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Taste,5KNLq9RKGJuvWjLIPdQvLj,Forth Wanderers,5UjbehtgZGbNmmanbVW9Bs,Forth Wanderers,3TZWID34tFQeznr09VILyt,38,https://p.scdn.co/mp3-preview/285438e902cb03b639110e995df2c50afed24ef3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Give You Game,3dkyJSCJShTyjXSv7UYyeH,Knife Knights,5MkIifBOV94xvm2tr6XliJ,Give You Game,3tjqYF1lbdrE1OEnmK1bik,6,https://p.scdn.co/mp3-preview/06d2241e468e161401537e4e1b2b334a41ae9f2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,J.Z.O.K.,6naKrWG7vcnDiHEXiIeLNP,Mass Gothic,5CjfZsl2kJgBUJvdJEBRBs,J.Z.O.K.,4LbGpkz9kgCjlhscldylaK,5,https://p.scdn.co/mp3-preview/3da8dbdfa03c337483c96cd7bdd3d77d0cb3099c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Furr - Live at KCRW,4KRsvj80pt4bZIYTYKXZMf,Blitzen Trapper,72XY3HrDdFfZXNZFCT9Zh1,Furr (Live at KCRW) / War Is Placebo,1FVfqEzpoOLJL7tgr96fsh,8,https://p.scdn.co/mp3-preview/9da838518adef4edb36d7a5c4908551daeb5916f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,War Is Placebo,7yReRRlAJ5kzXgYIbet8No,Blitzen Trapper,72XY3HrDdFfZXNZFCT9Zh1,Furr (Live at KCRW) / War Is Placebo,1FVfqEzpoOLJL7tgr96fsh,18,https://p.scdn.co/mp3-preview/5d62c9f3ab3c2df05a614db267084139892c2a48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,God's Favorite Customer,38VK0h0wpsr9xGg61Uuvtz,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,God's Favorite Customer,0hMPUtgjezv7gUsmhztvPv,44,https://p.scdn.co/mp3-preview/f50e240e78199986309dc1050059613bc0af3684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Black Car,3pvmkjuacq6719H5su9ixl,Beach House,56ZTgzPBDge0OvCGgMO3OY,7,4qftBBO7pnYlek3mRENIvM,54,https://p.scdn.co/mp3-preview/3a75f813248d1378097ba81ea4f83b830be4348b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,No Going Back,7rig9YRhho4jJ2LBMGekfj,Yuno,36BjLtXEXIifbRrfc1Rtqa,No Going Back,4Wi4LqdAihpu1DMkHLaZZF,63,https://p.scdn.co/mp3-preview/1e9b0031c2137538461cab0e5d047b24cebae87a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
