Chillhop Music discography [lo-fi hiphop / jazzy beats],Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
85,Awake,6Ueaikv9p3jrvyRPNpKbw4,Allem Iversom,6RaUtVLO8R5TsVdJIxSrq1,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/272ebeb63842e642cf6493d5df9070f94743a381?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Changing Lanes,0arRQZG8MVlmzyc1Wbmh8K,Sugi.wa,0XUBVuE1odesNug0oKt9Me,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/32087698fed8f914f27981b112882c8c9050862d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Lazy French Beagles,1cL8Uwf50RQTjNNrsRe1cX,Psalm Trees,5pmXkV6A8yQdoa64xzvZ0S,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/1ebe79b48dcfa22715df964990d1c836d86b7ea3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Apple Flower,05EN1f3Tp35O9dmm8ZCxMu,HM Surf,6TeBxtluBMQixZcKkJ3ZrB,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,53,https://p.scdn.co/mp3-preview/290823ea7c81caf4c6ab7c7b4a4be0c38a4da614?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Lower East Late Summer,2lLdlshOROCDbFedbUhoPQ,auv,6mmGVOvxusEdkxXmPg0Wlm,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,54,https://p.scdn.co/mp3-preview/354e0246568842aaf7416be1aa524156f754f69c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Nostalgic,1R1b7WJyRm8gt1T7fJLC3T,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,42,https://p.scdn.co/mp3-preview/67aabd32826ae6410b0db99099958327f3e1ff1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Mighty,7EvrNIE8EEgBUhtARbKk0H,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,50,https://p.scdn.co/mp3-preview/59715771bb8034ee4dad4884b89a8dbc160f8884?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Levitate,6P2QhqPjwompubGtRyN7Kp,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,41,https://p.scdn.co/mp3-preview/b4ddc001c0aeaadfb050893eaaf59e8c9890182e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Nice and Easy,3NYcbxlKeXOMRwIMFeHcEm,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,42,https://p.scdn.co/mp3-preview/cc0fff7fa00d648ff4cc3ca517fc2a493959557a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Persuasion,69czV6GVs1E2KOzhlqP2o7,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,41,https://p.scdn.co/mp3-preview/a156cfb1b1f355ded79d83a8dd6c2bab330fda3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Townie,0kNyIrBLw7CUIK87kVnoRc,junior state,0SNEph9mcT3XMM7XRRf5ox,Levitate,3sAObG3eO23xXwqtLf2Izs,56,https://p.scdn.co/mp3-preview/56eba8b13ceeca87b5da6cb6c9a6dca16f716f3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Yay,1h6ELVZSTdTVd8lXqhZgZb,The Kount,24OnVX6EYwtu7P3jpMenPY,Function,6DlDhJLvRUatO537YG6cHO,41,https://p.scdn.co/mp3-preview/e7ad15211d80a6cc8118bd9c08172c6744f6e6a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Place 2 Be,3ET8GAm7T4baxBWZVl6Unc,The Kount,24OnVX6EYwtu7P3jpMenPY,Function,6DlDhJLvRUatO537YG6cHO,40,https://p.scdn.co/mp3-preview/35d752f1ccfab8fda2443eda6c3a290889f5098f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Function,3v8e7DakDNOXvtVsReu4t7,The Kount,24OnVX6EYwtu7P3jpMenPY,Function,6DlDhJLvRUatO537YG6cHO,41,https://p.scdn.co/mp3-preview/9100e6de147797f4f3f2f4ad4721f6b5d386f500?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Customs,6hNCVfETbnEmGNuLwAZEhw,The Kount,24OnVX6EYwtu7P3jpMenPY,Function,6DlDhJLvRUatO537YG6cHO,40,https://p.scdn.co/mp3-preview/52aed1c13efb08d207f07044e9ef470558440471?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Yo,3aRnSEEdQo2LYFO9reNF3g,The Kount,24OnVX6EYwtu7P3jpMenPY,Function,6DlDhJLvRUatO537YG6cHO,43,https://p.scdn.co/mp3-preview/dc86607dd1441ed18382d61276566e9bc9d6a0d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
