The Austin 100,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
69,Keeping Time,6RaiL2wUD0685ktWv5GEqJ,Angie McMahon,574ERIqzZ5yZU9JhIf3Ysf,Keeping Time,0NGsK3AJm3kw1WDtZNhD1R,49,https://p.scdn.co/mp3-preview/c5c1e84eaa921f1017716c4d61b6dc9ac1a5919e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Three Hours Ahead,54aMekdZimkyqYMiR0FrcU,Adam Melchor,54tv11ndFfiqXiR03PwdlB,Three Hours Ahead,0MrFO6VhdsEKqxgFTb0gbW,38,https://p.scdn.co/mp3-preview/2eee6692ad5621b1773a7c427dae16dfc8637e51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,TTYL,0kVzhUyrvcPmqdqRwVHYSk,Morabeza Tobacco,0zce27eTR25aKpjQ7CvOA7,TTYL,2AQ5OYgI44IHskHwGo4Txi,29,https://p.scdn.co/mp3-preview/1dbb391a42b9ac7bc9c7ccb7f1c9e0e36977e1bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Baby Blues,3p82yrw89kCTCeEVWXm16T,Moving Panoramas,0TqX2rBkqzE41hGn69qi3o,Baby Blues,5XA6RTyqiumTB9dN3GB5gY,17,https://p.scdn.co/mp3-preview/c72ba8039b271c187364307b384ae516b445ff5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Far from Home,2wRU9V1fqUkxDrGfuStrSg,The Other End,0nGzG6cKKGTpBTWMvfXaQO,Far from Home,0CfkpzbaxhZOnaJt7umazo,9,https://p.scdn.co/mp3-preview/0a3b77deacafb1fee5b2a1d6cbc10fcf42abf7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Jade Rhino,0sMjboJts3cC8T0I5yqPJK,Hayden Pedigo,4OR0gbDLGgJ4fxoXB0ZCYZ,Greetings from Amarillo,0YAzkDWsDob8NQK5vKCvzb,0,not available
75,Anti Anthem,13iEa2LH1XZgz5dWxDcLcO,Mourning [A] BLKstar,3d7JKcEcThVS0eNAMvsmtY,The Garner Poems,2a7U8YKSNHxqQaQKlCiKFO,10,https://p.scdn.co/mp3-preview/80f71b75bfc6e793cbcf2a867bf13cfec6800366?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Make Wild,3doyTIYvk3Cq8Dbyjr3W53,Shirazee,3yZDwFnQlK2pgG8hu5knnu,Home and Away,5UFMAsN93KtmPO1at5gFdp,33,https://p.scdn.co/mp3-preview/62c01b109691aeea4895d6c27bd62021fc1d602b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Slenderman,0c1ilGKcVCNUWdFdryyiaO,Russian Baths,07N9Lr8AIzUbDzjPXUXTLr,Penance,2kYNUUFF1vo8wMahriAO9Q,12,https://p.scdn.co/mp3-preview/70be2c9df0406c8ff5f42b2c54a3a5e4aeb85eff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,At Home,4wDgL9CFL7ee8Z7gwQCXJW,Slow Pulp,2JFTRDi5v7JtqoouVe1z5D,At Home,7nvi5VoQuZQGqImhOLnawW,40,https://p.scdn.co/mp3-preview/507f94b3192640c72c3ed137f779a05d3b4b901e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
