The Realest Down South,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
47,Baby Birkin,0BOmhToQ03yOdpzYKMEnAg,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Drip or Drown 2,1oUzjom2A9xtyRM1SdOAGj,82,https://p.scdn.co/mp3-preview/4ed68006ecd1fb0bb834b15fc289b2d55fcd43b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Action (feat. Lil Gotit),7atIOHQWNZtVerj17DjwL9,Yung Mal,6m0MLa2Q5RwIF8R7nwQkQ2,Action (feat. Lil Gotit),6dgIV7Wt5enZVUhZFTW983,57,https://p.scdn.co/mp3-preview/3050039eef55c995290cffbba8fd5d5ea7758c13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Out The Mud,2wZjsbwmWfNVslgV5afl1L,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Out The Mud,1LGwG4vhQIOwCBZhyEtL4u,77,not available
50,Back to Back,3OEmAn79IyBRu5jJSFibtC,Young Dolph,3HiuzBlSW7pGDXlSFMhO2g,Dum and Dummer,5QNIFVnhZn80T3EteDzvgW,60,https://p.scdn.co/mp3-preview/9b14e518bfea5490fb5c4b03e531d81bdfe99eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,HBS,0uYMerBHiIHrCv9FHfzUMe,Lil Keed,3uJx5SnOM59Li7lCxA3b29,Long Live Mexico,3JDiBSlLalqzv0GTEDRi8i,76,https://p.scdn.co/mp3-preview/5452e3ee05969fc7758b2c1713dcaa35a1f31281?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Petty (feat. Lil Baby),7MaqxK7LOZD2ND3s3DF7TL,Young Scooter,4cmA2QDPdzh8W2ytpyUGes,Petty (feat. Lil Baby),6sxEkG6Mn8WHNt4Yr3yBDN,59,https://p.scdn.co/mp3-preview/f1edea5cbd870eb383fff64e97f0ec6a4457fb73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Bad Bitch,54whq0j0SDD98yUdQWFMjM,Yungeen Ace,7hj7ffJe6UkF1gsMpuweSI,Bad Bitch,6zEsTEREqELDQnVSuLX7DX,51,https://p.scdn.co/mp3-preview/781d842294f7d6ae41b1880fa8667718179c8c8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,GHOST,6ki0Gavv009DU2nBvtzzjb,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,Confetti,25Hk9EaZCYzWpIABUIKrz2,52,https://p.scdn.co/mp3-preview/992b50237443869c7cb2aca3e0cf35ac8fc35419?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Dior (feat. Gunna),683tYxiTlWzupDpaZ2mCv4,Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,43VA HEARTLESS,1DMa1o7j2548zVFXRzRe7f,69,not available
56,Facts,5PuRm1FlJEIBQDopNZvvl6,Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,Facts,75E2WMyUkrVAOV4rl5qm5N,65,not available
57,Bad Ass Jit,0DvNd934ToR8kmGhWwyaW1,Dee Watkins,5cNn5kF2qKIOtBQJ2z4FM3,Bad Ass Jit,0v5gZIQj3wGxgQFVLUapFd,65,https://p.scdn.co/mp3-preview/a45ece7dc1445951bafb04152648bfa695aef60c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Boosie Party,6dC6Qi85YunC4F3ccR8fAJ,Boosie Badazz,6z7xFFHxYkE9t8bwIF0Bvg,Bad Azz Zay,24LCIn4jaCf2uDgPAYbBTP,53,https://p.scdn.co/mp3-preview/a7ea9ddf463109da5101193c3bf3939443db8c82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Sunset (with J. Cole feat. Young Nudy),3pZO6GoVPeSYDxxsH6vCdj,Dreamville,1iNqsUDUraNWrj00bqssQG,Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,73,not available
60,Hit,0XWfs97wqncRv28sfS0aUW,Kenny Mason,4mwdnO2jZrMmMVrjcHsZBv,Hit,7lN42NFIEN55bjNfj1D7vi,53,https://p.scdn.co/mp3-preview/1392d4edc7753c772fce6b09143ab072cc920d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Intro,7tbyiwnLhtKYXNMjCZ60BT,Quality Control,6i392l38cR3uBPF0DbNs7S,Intro,1y1l71S4ZveVZQRuqcZk0u,68,not available
62,F*cked Up,4HGdWhma9ywtWJjaJifYAp,Jucee Froot,7BtDOCA9U1krM87JITg6bF,F*cked Up,2fsuXDnovMaXXfT9Sp6FIB,44,https://p.scdn.co/mp3-preview/e51fb2e2fe7254bf6696a05036139e62e023a28b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,100 Racks (Offset feat. Playboi Carti),4T2dHb8XBYHlVj7Dyo1cW9,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,71,not available
64,'06 (feat. Rick Ross),6OaGsZBBs3blLmRXSS1kRs,Jeezy,4yBK75WVCQXej1p04GWqxH,TM104: The Legend of the Snowman,2HFFbmm5pQGlXJpv5BNMFX,57,not available
65,War (feat. Gunna),4m7pR7xQSMJoqFbfmAV0dM,Yung Mal,6m0MLa2Q5RwIF8R7nwQkQ2,Iceburg,77DFD5M7xntJtgu3a7aOZ8,52,https://p.scdn.co/mp3-preview/66ea38f022fdbd2ec5c19e3364128eebe375276b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Ride Wit Da Fye PT. 2,7JF1i2VyTvZLkU2sM2JQFB,GNAR,3EIX8WuD9ybB4ruz0MSilB,FIRE HAZARD,4l8QW9iYsZzH8oOlhKUkrj,58,not available
67,Frosted Flakes,2aj4lHvYhpEPG8ruHXvkjz,Quality Control,6i392l38cR3uBPF0DbNs7S,Frosted Flakes,3UXeJSdcjjv1rzRztFhiL4,59,not available
68,Nasty,2jjItCsygxKASceR8hppIX,DJ Drama,5oNgAs7j5XcBMzWv3HAnHG,Nasty,5ZVjkEYRQQLpadUVOd3z1S,66,https://p.scdn.co/mp3-preview/48a70e6694fc947dda775fad75291e1ce4c48f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Cash App (feat. Key Glock),7HrZatsB5wAkWEBwagNUhN,Doe Boy,6aLoJJxz7MV2iZ423S8tJC,Cash App (feat. Key Glock),3lZVPrFXIxDGCYMKHSSEiH,55,https://p.scdn.co/mp3-preview/efd9e7f440a1af0bdafe9dd8225c9281692ca8d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Old Streets,5ZnMTmxjRCQKRgSiV9Y26g,2kbabysage,064EWUHS2vbPlSqowPxa3a,Old Streets,4R0wB9NYZItglxO4TgsIXN,58,not available
71,In The Middle,35qf6TTMuC9PNcYQVv90lR,Yung Bleu,3KNIG74xSTc3dj0TRy7pGX,Investments 6,1ZzXVnRFtVDhBAthyDFLoi,54,https://p.scdn.co/mp3-preview/102c48c54487d25ed62e1910c4842d0d90a9a62a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Shine,2If6xvVLttwh8HsYM24jE4,Childish Major,4bMNzAopkqYTwkBLwMKsF1,Dirt Road Diamond,31930PbkQiaxgcCsmX0Rkf,46,https://p.scdn.co/mp3-preview/758043c56a25180cac5bcf0480c95b3ef1a49417?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Go Up (feat. Roddy Ricch),0cMPXkjXXkMqokO9LIFPFn,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Go Up (feat. Roddy Ricch),29ljL5QvYMhy07hjzhSG4y,68,not available
74,HOT HAM (feat. LIL YACHTY and CHIEF KEEF),2NpOMyRkB72q40ZQmUnsjc,K$upreme,7trxpXo6hVUnoB22sbCkEd,Caught Fire,6ijzLeD8Lwz14YFVYjJQk0,55,https://p.scdn.co/mp3-preview/7092c8c10e5b41cc774011e6f1a29656b7d8a90e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
