New Music Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
82,Addicted,3EGAc0nwEu8bJn6yTJ91gi,Yoshi Flower,0rAt7V95LWbRPvWQFd21il,Addicted,3kSj7QloTZ9PzAbB7RGlDx,42,not available
83,Echo Over Me,5MKBflCSa1p10bxmgY9qpv,Max Styler,3NKKngINK1tP6BFy0WOyWk,Echo Over Me,4wVaX6f9bSmpo9uC8FbUr8,34,https://p.scdn.co/mp3-preview/0e62b3aae4717c2881f8b37331a7c043136577c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Mr. Lee,26iKGRGVeiMKBlLwxGopDk,Hovvdy,59RNNqeEfkq3X5pfOQxZ3C,Mr. Lee,1dsTvfTHhP8Bbjun6kijLR,43,https://p.scdn.co/mp3-preview/cc9e2104a7bd63791ef5bfac1301ff2269179612?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Love Affair,7ge4qBkps7zEHSA8da5mdc,UMI,4ClziihVpBeFXNyDH83Lde,Love Affair,2q5xaeqEQih2Cx0GKi1mi6,52,not available
86,Young,6xMJ8qOGPnsspUoee9lTVC,Lukas James,5jIPXduGG44jaMzxE6PRqO,Young,4uCLBS3fcNRXxjrWAZEt8x,43,https://p.scdn.co/mp3-preview/04f054d918e9da62fc47308e3ba6a16069723276?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Wonderin',5NNGCaIiQhvi00EfhUDdPv,Next Town Down,2jJCk4fs0irQjjrG0Yo4I9,Juliet,4jvZzMdRxjs2JqGseI9O0H,45,https://p.scdn.co/mp3-preview/7ffddfdc043822504a864a7292d5f37fa556a238?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,ICEMAN,0YYIoSpuOGIurK46YJuXsI,Father,10AY17ALos2o3akPqrPydw,Hu$band,2DyBV06ZmHYRkiVEP2z5R6,47,https://p.scdn.co/mp3-preview/050186dbc9062ecdedc385ff194011129efe6bd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,just one night,5vFbsSJFQ4UuInip8mRSfa,Caro,2HysMkOtaumKooHYAlE7wd,just one night,3zQuz7vrHSYieOLyBIfzBm,43,https://p.scdn.co/mp3-preview/52ad93bb5dd79cbbe4e04bf7b14597e4addd0751?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Where We Started,6gSwfvQ6qCeFyvERED8AMx,Bailey Bryan,2YcTXkrGXpftY9AR0BKEz0,Perspective,6S43Th7u1JTLDd5jYhnxxV,44,https://p.scdn.co/mp3-preview/bffd9cf821439d690ab045312970adb5fa83ccc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,What I See,4zLh511JiWkVxr5QOUkeVR,LANCO,2lRH2dgU5Kk4Bc5phmII4T,Lessons Learned,7ter4I7Qt9UC8RKD4CIpQO,51,https://p.scdn.co/mp3-preview/1ec6fe6d1b56bdf0c88df408478f4d1aaa2829c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,One Little Lie,1CtlK5ajs2MVmZyq3vrM3A,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,One Little Lie,14VYAGYdnzIPtV5F2JxfwH,52,https://p.scdn.co/mp3-preview/827b6ef3f82162146110df5f4b458f7ed07bd149?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Opie Taylor,57F0OIqDnhEIPBI6SHqHJI,Yelawolf,68DWke2VjdDmA75aJX5C57,Opie Taylor,1P61x2sHSn3gfzcoa63zpi,55,https://p.scdn.co/mp3-preview/f0cc2bcf33647dc164daa7a12d1412b4f4d96e90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,I Been,09yUin57wiHtDDBLHm03bm,Berhana,0WjtdWS6su0f3jrW9aqEHl,I Been,22Iq9WjyCOFHzM6oxSIy8V,58,not available
95,Pegao,65HT0L2eAtvbH56XrJqPbf,CNCO,0eecdvMrqBftK0M1VKhaF4,Que Quiénes Somos,1iKK2M9eRZMdWGSV0G8S0v,60,https://p.scdn.co/mp3-preview/4e589e0711ad640debcab18509a886eda08c9ae5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Talk My Shyt,7f568HpEc96CgSBA3XTefA,Aaron May,2rwALQ1SXdfUWPUd6WOfYS,Summer 19',2w8YHtiFjTVRsa3i7fRqy1,48,https://p.scdn.co/mp3-preview/1b70be3e05dcf9af2238d6f1c49b896d931aa6fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Dear God,6PqOKdVDOQmhOK1kuGaghr,Deborah's Child,6UleRY4Q1BRd2gRmPjFCQF,Dear God,0sZ6G9mft3L34VI3nehk36,43,https://p.scdn.co/mp3-preview/21d6e0a45c286cc227f232dd5e9dc8e974c95983?cid=fa83a2fec7c440b7a2795d600d6b2c7e
