All Out 90s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
56,Dreams,4rV3AYCf4BBBCkIpyLPwUP,Gabrielle,7rftfGIYEeZ79sLb58ZBDi,Find Your Way,3G14jXmb8ul7FmkRnPZooj,65,not available
57,I Will Always Love You - Film Version,6XQz4HwNIQZ652JFa7putY,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,I Wish You Love: More From The Bodyguard,3qEUTNGTeDXwYwSl3v2hNV,59,https://p.scdn.co/mp3-preview/683b088d380973cbee3b4034472210d621415a28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Don't Look Back in Anger,698mT3CTx8JEnp7twwJrGG,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's the Story) Morning Glory,5NCJ52G67LVp5elc367Sjs,57,https://p.scdn.co/mp3-preview/8d5ecd081b86c19a0189462c2222687088a15ed1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Together Again,1GrikfH0jDejDvrxo84n4P,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,The Velvet Rope,6ZANEjETQ9L9pjBuvOAhCQ,69,not available
60,Weather With You,6tXnRSvuNgOq4QcxpIN54r,Crowded House,7ohlPA8dRBtCf92zaZCaaB,Woodface,1QSoW668F9DVj8Rk9azF7h,70,not available
61,More Than Words,1gVgkQFOKa8Wc1HYsJtPdH,Extreme,6w7j5wQ5AI5OQYlcM15s2L,Extreme II - Pornograffitti,7DKHQxJTI32UyCdDdGwvRC,69,not available
62,(I Can't Help) Falling In Love With You,7ojJ4XvqBhBcteM0zjMebT,UB40,69MEO1AADKg1IZrq2XLzo5,Promises And Lies,0B0RuH2PSWoEkIvi75xY5d,69,not available
63,High,7zB3ZhA5v33pA4rCdKKGqq,Lighthouse Family,6edGSAX5dVpeJVwu1Q0NwJ,Postcards From Heaven,1Pl9C2X0IiwBUyRqAwpbV1,42,not available
64,3AM,5vYA1mW9g2Coh1HUFUSmlb,Matchbox Twenty,3Ngh2zDBRPEriyxQDAMKd1,Yourself Or Someone Like You,4vUXTcKz7tXxrNl84meN6i,70,https://p.scdn.co/mp3-preview/cb68c9ae8925bb3fc45544e5f21de17df18b957d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Don't Let the Sun Go Down on Me,0q90594hk25yo0xZmBTqCd,George Michael,19ra5tSw0tWufvUp8GotLo,Ladies And Gentlemen... The Best Of George Michael,3coLNlyStg9h7f8CZ103Rl,61,https://p.scdn.co/mp3-preview/5b030d6dd95a91096f8d5bbe84a9eef1af25a3ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Bed Of Roses,1zng9uqqXoPkmU05nsAlsw,Bon Jovi,58lV9VcRSjABbAbfWS6skp,Keep The Faith,2FbviTPUjgJJUxsGM1sGDq,74,not available
67,The Sign,0UBPU7UNTCySKbgErBZBfq,Ace of Base,5ksRONqssB7BR161NTtJAm,Platinum And Gold,3byIaI0I4GvEqhhlYoR0Wf,6,not available
68,Hero,4FCb4CUbFCMNRkI6lYc1zI,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Music Box,2NKxb7pk04CuZab5udkGUl,73,https://p.scdn.co/mp3-preview/cc03494b6954237706d6f2ac7b9ce189014f840a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
