All Out 50s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
52,Da Doo Ron Ron (When He Walked Me Home),0fonScmHUzC0MglSLn9saA,The Crystals,7rewR1TVjhisjI6gauUamf,Da Doo Ron Ron: The Very Best of The Crystals,11ho9FxQbJjMbQn1P1yWpm,57,https://p.scdn.co/mp3-preview/8bb1c8436e969f5eba1d616854b2a3b687c65376?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Put Your Head On My Shoulder,2DpJ9T2RVRanZcYFHKOAfA,Paul Anka,7ceUfdWq2t5nbatS6ollHh,Put Your Head On My Shoulder: The Very Best Of Paul Anka,75zBkbUSaFzpyPa1mBDjON,72,https://p.scdn.co/mp3-preview/8e53f4c7323a033e23cc05dd67211c165c0258c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,True Love Ways,7KW8zYlJwFieEHMgMresJN,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,The Very Best Of Buddy Holly,4ufhEXGkugwUgZ2fOHx5ts,8,not available
55,Volare (Nel Blu Di Pinto Di Blu) - Remastered,5OkKOkdVTKFrYi6GWXkMzR,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,This Is Dean Martin,7dfnxOYh1XR9AKqCcGckGX,65,not available
56,You Make Me Feel So Young - Remastered 1998,2WaYW84yWij5NSCpgSeU2R,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Songs For Swingin' Lovers! (Remastered),4kca7vXd1Wo5GE2DMafvMc,66,not available
57,Heartbreak Hotel,6xNwKNYZcvgV3XTIwsgNio,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis' Golden Records,0C3t1htEDTFKcg7F2rNbek,64,https://p.scdn.co/mp3-preview/f57b3ba45451dabdf48d825a21880525a1c06b30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Unforgettable,5h1mm1R9Jy531CbvptILX7,Natalie Cole,5tTsrGPwQRWUsHR2Xf7Ke9,The Unforgettable Nat King Cole (Remastered),4GTwzXDzczrmF67glcuNxt,15,not available
59,Tennessee Waltz,7t8Tzd9FqVz2asFMCL0HpZ,Patti Page,4nZN9kln8toEzOifhWG2uF,Rockin' Gals Of The 1950's,27lZJLd8V0j7jQdmQ7ZNx4,4,not available
60,Tell Laura I Love Her,3ic8Aie35Q7XuzmODprc0Y,Ray Peterson,7BDI9Iqt24gl4RGdS6hWs9,Goodnight My Love,42FHlMA9rY1J5AVfQ7No14,44,https://p.scdn.co/mp3-preview/35d5061a22e4ae383abecc552983b9435e61e51f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Cheek To Cheek,6pPr1KLZit9FgFNhp7xE5m,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella & Louis (Classics International Version),2gL5uUab5439mDFvHnBtVb,17,not available
62,Oh! Carol,1VI29k31nGdasgJ8BBpPu8,Neil Sedaka,5N6GwJzOcOY5kv8p0NjhYL,Collections,7s1t3zA17RfNVhMYv2v52o,49,https://p.scdn.co/mp3-preview/26edd91a28c8704814abe0378f9394cb6e5f56af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Come Fly With Me - Remastered,4hHbeIIKO5Y5uLyIEbY9Gn,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Come Fly With Me (Remastered),66v9QmjAj0Wwhh2OpbU4BE,71,not available
64,Great Balls Of Fire,3YmELj8vHY6mKIzphgtQlM,Jerry Lee Lewis,2zyz0VJqrDXeFDIyrfVXSo,The Complete 1950's Masters - Jerry Lee Lewis,6msW9XLguF1wBVT0TyroP8,9,not available
65,Do You Love Me,298jnAsgLcTRkRP5TKB7Mj,The Contours,2ugPdplEWBmyU6EcIzlcY1,Essential,6SCZSe06bdBdFE3T3ouLT8,56,not available
66,Summertime Blues,1ZWIQXfAquWtLDK5aOUczS,Eddie Cochran,1p0t3JtUTayV2wb1RGN9mO,12 Of His Biggest Hits,4URqXxoj7ZPdqxVxVwiHoe,9,not available
67,Jailhouse Rock,4gphxUgq0JSFv2BCLhNDiE,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis' Golden Records,0C3t1htEDTFKcg7F2rNbek,74,https://p.scdn.co/mp3-preview/29990f669b5328b6c40320596a2b14d8660cdb54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Surf City - Remastered 1990 / Stereo Remix,4ZzXPeOfMXk0iKNQGdlzDq,Jan & Dean,0pqGj6vO9YHsXuZmaJaP2Y,Surf City: The Best Of Jan & Dean,1q3jhhU1DSw1zNAoeyhCsE,54,not available
69,It Doesn't Matter Anymore,7KGbqCYWaXdJxhsuilkcwF,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,20 Golden Greats: Buddy Holly Lives,3oU3OPTKI0JfsVunkeODJE,4,not available
70,He's So Fine - Remastered 2000,2Bs1Lw9LX8hBm70t1iGdlh,The Chiffons,05sIdEkXAYDbDDdv3T56Oj,The Chiffons Absolutetly The Best!,1WvYZcG9v3WzzNNkwpreGq,53,not available
71,Sea Of Love,14T8UhqU8EaJpp3tRxqJbr,Phil Phillips,4RoSFlSfHkTux15j7kUIAc,Golden Hits forever V5,7aDs155Ps2HI81WIrqQ6Oh,5,not available
72,Sh-Boom - Single Version,5TiUTAPurormiQX9gE0CAQ,The Chords,3xXSg1WJPGJuNjQV0REAzk,Atlantic 60th: At The Hop,6LFNpN228ffJyxBHQx1a9H,54,https://p.scdn.co/mp3-preview/210e9f44dc36bf6d4e50ea1391cb6c0b40290969?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,She's Got You,6rNA2S7NYAWEWBaCHIKRoD,Patsy Cline,7dNsHhGeGU5MV01r06O8gK,The Very Best Of Patsy Cline,17xJZCuQxwPywuqMWV85U9,3,not available
74,Only You (And You Alone),66D7zHfeW0frszhjR9ewZ1,The Platters,6KWcxMWVNVIYbdOQyJtsSy,The Best Of The Platters,48VpGQRP9z2Nhw2iq1uyaN,7,not available
75,Blue Velvet,6AEFQ8LIJg5d3Uv3zsPaM7,Bobby Vinton,6bOYtKnpLPQSfMpS2ilotK,Blue Velvet - Greatest Hits,5f1qDVhBhdIwFvCBNfbQim,6,not available
