Radio 1 Rocks (BBC),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
48,Mississippi,4jQdDKleAkQ9ysNzc7XMnq,Jamie Lenman,3kAJUCn4swbWxCZXW7cZ6K,Mississippi,2Do67klKD2jNSExVnmJWdN,14,https://p.scdn.co/mp3-preview/18e94eb431bf9bb7b5171a2ab266762edb35cd91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Modern Ruin,3uo8h9Ik46b8Hd2RIjTEo1,Frank Carter & The Rattlesnakes,3r32a6mMdoPaSP1C7kYhMc,Modern Ruin,1xhCXMGERtnGJ8GYFelumz,20,https://p.scdn.co/mp3-preview/0df58e12213fa11fbef203afcc74de0a54c18a68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Governed By Contagions,55WlP1sYMv6kNEfBjwyXT2,At The Drive In,5E2rtn57BM2WPjwak4kGd5,Governed By Contagions,6AbPjYIOyfiriFDRgmAVza,21,https://p.scdn.co/mp3-preview/933c1aff09e28ffa657ddff5bcfe4a186e863c13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Wild Flowers,7iX0pHe3aHD7xqaDrB8Llf,Frank Carter & The Rattlesnakes,3r32a6mMdoPaSP1C7kYhMc,Wild Flowers,1hd2Hk0YyC0k6YNGg2ffmT,29,https://p.scdn.co/mp3-preview/23ce8eab3504b27d72e4d601dc8e74909626a9b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Dream No More,1JUNkBz9xve5TxSXg7g10u,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Hardwired…To Self-Destruct (Deluxe),4kXlBtAZI9FYWaRwL6lTW8,1,not available
53,Control,0ILT475efW2vVY5pxvCj0m,Tigercub,6ekYAO2D1JkI58CF4uRRqw,Abstract Figures in the Dark,4Wv5cp4Y9zk9ebuXOIGcpe,32,https://p.scdn.co/mp3-preview/0be3d8a7dacf031ab5aa8b6c94b24dd4636e86e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Home Is Such A Lonely Place,7fYOZjdpOv8dBtzPnXysOG,blink-182,6FBDaR13swtiWwGhX1WQsP,California,4wuYQ9hyF1EGmrtjMpgpE9,56,https://p.scdn.co/mp3-preview/e76ff162866f0a2d6dd375676e21458bdba7df0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Dumb,1oPUkPe3ICQZNPEo4xd2FV,Lower Than Atlantis,1kF0gYnHLUJvFuPdoowO02,Dumb,1mEUHt7pcrckQOfBI1uvNB,18,https://p.scdn.co/mp3-preview/d404e097ec752ab3404c1d12c434aa6d96d31083?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Royal,4qTgNBXg9ngnSYOj6U6HdZ,Waterparks,3QaxveoTiMetZCMp1sftiu,Royal,2O7LZU4dQ26HA1jGYznhVA,0,not available
57,Palm Trees,4pzI8SApuiCnpabEU1f6m4,SWMRS,7dLkuQHF2ijbK6jiLFyIWM,Drive North,3KbuvIJRqejRJ4gtO9xwC3,47,https://p.scdn.co/mp3-preview/7d454af8102d05cb7dcc1d62af2ff6399f0ac460?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Suzanne,2q3R9xRItEU64AXrVDQcgT,Creeper,0nV7SiEIVtPLTSJ6NwWDGj,Suzanne,4wPWJuPrQ3LVqOLHz2zoaM,19,https://p.scdn.co/mp3-preview/9df3a05c31311ca455c57674fcf82397af8754ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Remedy,7ClWH9v2YBSUv4jmLYyPnp,Frank Iero,75CziSb5bEWIj1m8TdMwYy,Remedy,05v8UveGd3C5VugyAr4XRp,0,not available
60,Square Hammer,3XNPRJeE1ssODmXDS7hP22,Ghost,1Qp56T7n950O3EGMsSl81D,Popestar,2dvkDpC9uYe8chERNs7iYv,36,not available
61,Revolution Radio,6W2bBUgwSSqweE5DOhquju,Green Day,7oPftvlwr6VrsViSDV7fJY,Revolution Radio,5H0id4LKmME0WPSyVwJoFa,0,not available
62,Get Right,2lWZXa1M5apVWmllXc0ACO,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,Get Right,71M7OqjwhnkLK4qvpLDC9T,23,https://p.scdn.co/mp3-preview/fdc368e69abe590c4ff8fd121b98a91b8eddee9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Bang Bang,0Z2wvNROelCrTqUM28RLYt,Green Day,7oPftvlwr6VrsViSDV7fJY,Bang Bang,2OtrW7q4kpPy7d3zPDeQqg,2,not available
64,Real,3NptglYQWQaFZ7mvmBqyJG,Of Mice & Men,4tususHNaR68xdgLstlGBA,Real,1NEOF9PoSQrDOUIz2u5iGU,27,https://p.scdn.co/mp3-preview/4fd38121af8d46ef336c66cb725329e1b26262f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Bullfight,5tUgmMoFbJvc26qSVbB6VN,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,Bullfight,3srOv2uddchMpfiAzFkxXo,0,not available
66,December (again) [feat. Mark Hoppus],1vpKLPLaYymnwkIHALc5J1,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,December,22jWMvcp7ruHDfqn9EVxwe,56,https://p.scdn.co/mp3-preview/1bf0f4075d44f172ef3d596b384e194311d42334?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,This Could Be Heartbreak,72jhYrzA273qKiEDSHFhOp,The Amity Affliction,6kNKUYGn6VNGsRoXmyoDPK,This Could Be Heartbreak,1Z7RNMkG4pSe221RsbMjNO,26,https://p.scdn.co/mp3-preview/777ed7a14ec824de85e17f9bc217b2c402af5692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Palm Dreams,0ZdNq7drfTw2agOoMCJBJV,Touché Amoré,16QCJENzcdhwka9bTKYMVB,Palm Dreams,5VqXiPmDN5UvEBoWln6KHn,0,not available
69,Crucifixion,7mBoiKaGJ20DwxYgFLjMPr,Giraffe Tongue Orchestra,1vfusWMe7GXj7agfmDqcpe,Crucifixion,4AhOPZRZAQYoBlqpUOdnC9,0,not available
70,Aggressive,0GfeeczySXlnq6FmXu8X5v,Beartooth,6vwjIs0tbIiseJMR3pqwiL,Aggressive,1o6gK68f1W9eGjFesN8Qg6,0,not available
71,Snake Eyes,2aLfzNEIlmnJlhDX5AOV3h,Frank Carter & The Rattlesnakes,3r32a6mMdoPaSP1C7kYhMc,Snake Eyes,1e8lHsV7eeML54tFbvRSCo,24,https://p.scdn.co/mp3-preview/73137270fba4478aa8690e1e710d863e3f2424f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Bored To Death,34hoCwSsssai61QCqzGYtX,blink-182,6FBDaR13swtiWwGhX1WQsP,Bored To Death,7fLWWLAmqWQh2xk3mFX4I5,10,not available
73,Always Dead,44DZJDJNOEuHopSF5KG5Sf,Beartooth,6vwjIs0tbIiseJMR3pqwiL,Always Dead,3IcPLrEFyNsqWxps2sfuew,20,https://p.scdn.co/mp3-preview/e4eb179e01271abf72c72ca903cd52c58f25bcbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Honey,3NS21eAHLLPyfm1NffjnFc,Moose Blood,5fEKZRCUa0JApec5Xy095q,Honey,0bbpR6s9SspyryA3iTxzDE,32,https://p.scdn.co/mp3-preview/3de868c6b3e0f00fad9faaf231d43a80f27affae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Hearts / Wires,4deSa7PlEJ9rd612KqUQcv,Deftones,6Ghvu1VvMGScGpOUJBAHNH,Hearts / Wires,1Dn7bQscmTTjP9syL8ihZE,20,https://p.scdn.co/mp3-preview/1221c0088c33e168f567146ca820285b23bc72e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Paranoia,7gYL9E5WN7Nd8l2ZQ1rkKI,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,Paranoia,5wJDlY1ydJyfu66a7B1AEO,1,not available
77,A Match Made In Heaven,6ICD1GCDQGcHjxwZx7iCX0,Architects,3ZztVuWxHzNpl0THurTFCv,A Match Made In Heaven,1wkhn6KJums0xe7PfArJPI,25,https://p.scdn.co/mp3-preview/496eb7d4070ff7b46c6179b2239675c5397aa080?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Taken (feat. Rou Reynolds),6k6Mblua9LeSRoqCx0UC6P,Hacktivist,3hZtRePYRKW6wLtZ3gpnk7,Taken (feat. Rou Reynolds),24oz0Z5gxsiqmHhljB2xJE,0,not available
79,You and I,26WlFnTlUSM5R0xg5p6epW,PVRIS,6oFs3qk4VepIVFdoD4jmsy,You and I,5OIAqBy4qyDIO2HOMzwCTz,42,https://p.scdn.co/mp3-preview/bd7bb02010015683ef16fdbc03a6e2ee9987de0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Prayers / Triangles,2uAWmcvujYUNTPCIb2VYKH,Deftones,6Ghvu1VvMGScGpOUJBAHNH,Prayers / Triangles,7e76qjZpx4GllXp04ctJ0p,25,https://p.scdn.co/mp3-preview/0d29d3ad619d616a32371789e2542f6d39636611?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Black Mire,0WRKYhncbHwMQFoRynwWfl,Lonely The Brave,7Ks1xbMXEQjy9aQObTJdId,Black Mire,49O7SWcRRmaU4RkLFlXjJr,14,https://p.scdn.co/mp3-preview/60ff0ab44e97f383439217482b96904b4ec2a030?cid=fa83a2fec7c440b7a2795d600d6b2c7e
