Essential Choices (BBC Radio 3),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
53,"Romeo and Juliet, Op. 64 (Highlights): No. 1 Introduction",5xoNtCvj7I6qy1xurZla2A,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,7,https://p.scdn.co/mp3-preview/70ab104b0654db1d9239ecbc8c5374066c6a8160?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,"Romeo and Juliet, Op. 64 (Highlights): No. 2 Romeo",5LRkkdEoS9ZG4HaTBzGoBf,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,4,https://p.scdn.co/mp3-preview/b0395e6e027074f5db9e5d1432545c9d18e7ebbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,"Romeo and Juliet, Op. 64 (Highlights): No. 3 The Street Wakens",4LeiGyjgLLjR1niOawWDIr,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,4,https://p.scdn.co/mp3-preview/0efad1400513f3f0e763e06fcec3ac7d0e230b13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,"Romeo and Juliet, Op. 64 (Highlights): No. 4 Morning Dance",6aFxXMosVMeJ28VByA6gZw,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,3,https://p.scdn.co/mp3-preview/f8fcaf0fd2e98f624a7da00ae22e358d6c87a80b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,"Romeo and Juliet, Op. 64 (Highlights): No. 5 The Quarrel",0z0U9AJOA2Bmwe9mYYyzEp,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,3,https://p.scdn.co/mp3-preview/607f209f04328ca3b8ecbd02099342e9ea24043d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,"Romeo and Juliet, Op. 64 (Highlights): No. 6 The Fight",3zf90IjIyXnjuTOKZmNy9N,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,3,https://p.scdn.co/mp3-preview/8098aa4451c353d79dafac3b5186fb4ec4ffed86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,"Romeo and Juliet, Op. 64 (Highlights): No. 7 The Duke's Command",3M3Rd1VyYEvDYSHnfTTZar,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,2,https://p.scdn.co/mp3-preview/94d588893e3dd804207e88528cb4bebffe5e6678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,"Romeo and Juliet, Op. 64 (Highlights): No. 8 Interlude",0FcxtXPzheooQo7vVolRhO,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,2,https://p.scdn.co/mp3-preview/bc3d532d94a6e5bd885ce89ca0ede358df63ebf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,"Romeo and Juliet, Op. 64 (Highlights): No. 9 Preparations for the Ball",5zeP4pOoYCy7HFXkRMFr9D,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,3,https://p.scdn.co/mp3-preview/7458be0cada6fac1f01097179f455c116da94ac7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,"Romeo and Juliet, Op. 64 (Highlights): No. 10 The Young Juliet",00VjWKeTY0WT9XFjk7wbbO,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,3,https://p.scdn.co/mp3-preview/11ba37891ffda3b4e1a589fbb927a5a7dfdbe04c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
