Lauren Laverne: People's Playlist (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
75,"Préludes, Book 2, L. 123: No. 7: La terrasse des audiences du clair de lune",6hmWQpeG1W0nrSyKr3xrJn,Claude Debussy,1Uff91EOsvd99rtAupatMP,"Debussy, C.: Piano Music (Complete), Vol. 1 - Preludes / Les Soirs Illumines Par L'Ardeur Du Charbon",39cwBpvO7GuPLzf6gJoMYv,14,https://p.scdn.co/mp3-preview/174fa32146e0903033c8940b35789f958fd35179?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,My Baby Just Cares For Me,2uq5YUcJFbIwczSAvKGxM2,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,Little Girl Blue - The Greatest Hits,5JNkzBcS8bnXeqTisumTCr,1,not available
77,Coffee Cold,6MN6yRVriszuyAVlyF8ndB,Galt MacDermot,3b6TinIPahsS8iSCYAeinr,Shapes of Rhythm/Woman Is Sweeter,6f4b9wVTkKAf096k4XG6x5,56,https://p.scdn.co/mp3-preview/e598660e0b29cb8faf82c7f53d8d28af339c8d93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Linus & Lucy,56zxx7EzPlA5KHFMuVirUN,Vince Guaraldi Trio,4ytkhMSAnrDP8XzRNlw9FS,Peanuts Portraits,6qSjrxeUaSbNORPKUI3ng7,0,not available
79,Philosophy,1e0xsmVXtQyK1qn9ySs2YM,Ben Folds Five,44gRHbEm4Uqa0ykW0rDTNk,Ben Folds Five,2zNa1aZ0VaGfuiNqDbrQET,41,not available
80,Flowers In The Rain - 2007 Remaster - Mono,4rJmqbRk5uPYg0AY88fVkk,The Move,2BLpGstUHxDc6vHfBEiaXm,Move (2007 Remaster),3yIyHAM3OBCb6zhYqwtH0w,1,not available
81,Push th' Little Daisies,2fX2DfFf5Qq1kYpHu8OMlC,Ween,3u1ulLq00Y3bfmq9FfjsPu,Pure Guava,6WUAoM3HH5G3ksPu9hHQGs,0,not available
82,Play in the Sunshine,7D77LwNefSS7QJoy68sKEx,Prince,5a2EaR3hamoenG9rDuVn8j,"Sign ""O"" the Times",1XsXHctYSQNyAd9BANCk2B,34,https://p.scdn.co/mp3-preview/4fc3e6fc8ea03d862d1f140517d76404f2eabc01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,It Might as Well Be Spring - Mono; Single Edit; 2017 Remaster,1NnONkFnrOtYz1X48StHfM,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,"The Colpix Singles (Mono, Remastered)",6qdjWRKZZV1drAi1EiehGd,32,https://p.scdn.co/mp3-preview/e99cc2dedfe0368b44207a4a2898e0d956ab0224?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Green Garden,5a1oQTpqvYEwziAa878C6M,Laura Mvula,0Dy94lW3txJhWQHqNXP1BT,Green Garden,4jX31a1mWTlvC6Pr8aOcA8,31,https://p.scdn.co/mp3-preview/a8f4665928172f858c25e7f1b13275097bf58f4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Les Fleur,72HpJ0PIlouq0gl9ZecT9T,4hero,1BlBZ9jQGOjmj6Zykgg43L,Creating Patterns,4PtwzX6tWndG5Pm4xs56eI,3,not available
86,"Quark, Strangeness & Charm",0hWgkkwXG8VaBT5oemXy0o,Hawkwind,2jK54ZlZhTF1TxygsVeR05,"Quark, Strangeness and Charm",3UiIkF8bC5qBqm4lNpEuYs,19,https://p.scdn.co/mp3-preview/1f0c7f970146a6cb14882ac5ca6131726e342768?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Galaxy Song,3Zcjb7bFerWq5sBHJVxnui,Monty Python,5IxfhXIHjAOAqibxl90NZO,The Ultimate Monty Python Rip Off,3nl9lH0VP2uFbciZuEzKbh,19,not available
88,Let X=X,543VOLzzhjhTog1rArIX6E,Laurie Anderson,5hqB3Fxgin9YGYa0mIGf1G,Big Science,5nfdstl6JxGrDQtm1B2LnZ,33,https://p.scdn.co/mp3-preview/c952f0d87da6dfc2d026bca23aefbae83188f4fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Chain Reaction,2S9lDlH0ZLVwpJiRQUdLJE,Diana Ross,3MdG05syQeRYPPcClLaUGl,Love And Life: The Very Best Of Diana Ross,6syCFYImxKPSf6G8Oh3bIq,55,https://p.scdn.co/mp3-preview/ff0f688a8a1e8bae86e2e69ad3cc2f25f1f0e304?cid=fa83a2fec7c440b7a2795d600d6b2c7e
