Glastonbury 2017 (BBC),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
45,Because I'm Me,2kXW9JriUNpNJfpBpYzqMM,The Avalanches,3C8RpaI3Go0yFF9whvKoED,Wildflower,6xaalWgqmC00dKgrFLlcmk,51,https://p.scdn.co/mp3-preview/409f35d8befc243ed2ea86c05fda74e4f77b4a69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Symphony (feat. Zara Larsson),4b13SJlne61y53KSEwuQtD,78,https://p.scdn.co/mp3-preview/45e100c336ff5ebbc5bdbae4224f25aa08fa9ca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Budapest,7GJClzimvMSghjcrKxuf1M,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Wanted on Voyage,5tF2lAa2rh2kU2xIiBzWia,77,https://p.scdn.co/mp3-preview/9dfa0b98773c257fb4234228f24773c6bef2607f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Youth,3uN39QYDbokzRJxtxRXNbt,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,Youth,1KAUCacwttNFi6aKRQtmYH,2,not available
49,(No One Knows Me) Like the Piano,528cn9VuUcjioySL0258gV,Sampha,2WoVwexZuODvclzULjPQtm,(No One Knows Me) Like the Piano,7Eiys0qZxycRQzRCoZD1Ou,13,not available
50,Building Steam With A Grain Of Salt,6iugUJxw11T9vfOehIzBvF,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,Endtroducing.....,7N0W5QxnRMP3s1mMxfQo1p,2,not available
51,Truth Is a Beautiful Thing,20ODFzC42kliGkvw0AcaNL,London Grammar,3Bd1cgCjtCI32PYvDC3ynO,Truth Is a Beautiful Thing,33r2UjQYhP21OsLqF1NLgI,1,not available
52,Home Is a Feeling,57CShUyyvzle2NmUjGOGBT,Ride,0WPY9nnBy01s5QOt4o4oQX,Home Is a Feeling,7HVvcY98UyZCyyIQimLpzF,10,https://p.scdn.co/mp3-preview/f4e2a8acd2aa84620ac881f83e1be62ea794ed6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Soubour,0nfh8cx2ej5CLoNbsjimSa,Songhoy Blues,5fpQ5Qt2BKgoVBSMw4Z17Z,Music In Exile,03uzjUD03Rtobppd6gesIC,39,https://p.scdn.co/mp3-preview/1a3c25f2b9b4298eeb19b2d15c935a793c54d352?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,High,0UREuyMot9zc8aIuKDBvgk,Little Dragon,6Tyzp9KzpiZ04DABQoedps,High,3bv7CWVQIK7NZSOH2GmrNS,0,not available
55,Hole In My Soul,5LumIMIe5ZZ9MAPcE5bygs,Kaiser Chiefs,0LbLWjaweRbO4FDKYlbfNt,Hole In My Soul,63I2iwwOTmQhFBw3bewRw4,0,not available
56,Big Cat,5IQQXe71ZEffQzl6Rzflbj,Wild Beasts,4zrFO6P7G6EZry0pfxMfKT,Boy King,4kL8AfsxFmodxzdtknDAmV,38,https://p.scdn.co/mp3-preview/b9bc1049f5645d4f9d50d1c9d3581e882f5abd23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,I Wanna Prove to You,7sjYzHb6IEQelfcG52hM28,The Lemon Twigs,7eYZSXnQVCODCVmTV8Hk2T,Do Hollywood,3L32usNqJql7Thi6uK13d6,48,https://p.scdn.co/mp3-preview/d12a018a40591d185ba8d00a8d6d9688d17629a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Human,3erAiWBiKsbVG39cqCrsI0,Rag'n'Bone Man,4f9iBmdUOhQWeP7dcAn1pf,Human,2Tjk7cYdH5s6dFhrmmRIw1,21,not available
59,Ain't Giving Up,4NtYPIwUNdAB8UhiPm71dn,Craig David,2JyWXPbkqI5ZJa3gwqVa0c,Ain't Giving Up,46a2DDW0Qw8xnXOJvscr0s,3,not available
60,Fire That Burns,19wfwDasfT74PJaamTO5Ef,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,Fire That Burns,1bI6XxRt80yfstPs3sV14S,0,not available
61,Ran,3feQuci0FW6ZJKufBJ4S4g,Future Islands,1WvvwcQx0tj6NdDhZZ2zZz,Ran,5Uo50uYblMJT45gDizaMF1,2,not available
62,Not a Pretty Girl,4pkQxuzzRyNzBmpQXztC3M,Ani DiFranco,0AiTwNtYX8m4uhfU7rJ8RD,Not A Pretty Girl,5HkAhOC4QT6SYmlzuBqFdb,38,https://p.scdn.co/mp3-preview/096e46ddc72ab27318c5dd2990f3106daa59d4ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Tight Up,0rIZGjN9oQTyAwByKpeGBf,Nadia Rose,0Nc09HuPN9ELmbTCLyNKnO,Tight Up,4atPUp52kt5lL8tKZcwFmx,31,https://p.scdn.co/mp3-preview/588188969433bc3e8e0f6d0667aafd627696a361?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,I Got You,5aR34Thto6jAjzXbe8xEg3,Shaggy,5EvFsr3kj42KNv97ZEnqij,I Got You,4DVkhLSosyjEcdk05r3E4V,37,https://p.scdn.co/mp3-preview/9e47e013438bdae3ff0deed34426efcc7452118e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Bad Bohemian,3rdqJ2wiKP3vj3M11sliPH,British Sea Power,5zhn89Em2jWUUWdpcLO3YL,Bad Bohemian,6hp9nltEnh6IUxOj6zwvG0,0,not available
66,Beehive,6LviYlKd5Ak8IvA5tZykHe,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,Beehive,518pQo2FSnBxzOuLv0JtC8,14,https://p.scdn.co/mp3-preview/9bbf3b199926d83963354dd573253ed926331341?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Lullaby,4STtE8vtSXM17vVqp4KQhK,Frank Carter & The Rattlesnakes,3r32a6mMdoPaSP1C7kYhMc,Lullaby,43ViIDIgnzax6V1C2w8Rcv,38,https://p.scdn.co/mp3-preview/4221b14d97b076aa989a7fc99dc3e6092f34a8f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Now Or Never,1mDGDb2fUmUMdqV3tb8VKQ,Halsey,26VFTg2z8YR0cCuwLzESi2,Now Or Never,2wSBV9N0cNgaDc5X3ljnVo,5,not available
69,To Believe,1SLfWtF7hSFHxuz0f0ytpF,The Cinematic Orchestra,32ogthv0BdaSMPml02X9YB,To Believe,1BnnvEOB5L5rCUmJBbefEC,1,not available
70,Cool Girl,5LWVXN39UpNyhkYnBvDfyq,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Cool Girl,2b3A01u6pE106X4Ho8JMAG,6,not available
71,Music Is The Answer,7n6yBlt14D5T8WOCpjdChJ,Joe Goddard,380fnmlGnkyueBMqGWx2k5,Music Is The Answer,6zxWLR1GWbTdYRx5Ypy6jX,1,not available
72,The Kids Don't Wanna Come Home - Single Version,6lj0jgxdeE6wFqddzYY0Sd,Declan McKenna,2D4FOOOtWycb3Aw9nY5n3c,The Kids Don't Wanna Come Home,2GXBbakBxezU9ei9nLhAXI,57,https://p.scdn.co/mp3-preview/1799cf995c741bbf11d5fb2859d4d199264ed80f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,The Isle Of Arran,4SMYg8BBCol2irtHIpI05N,Loyle Carner,4oDjh8wNW5vDHyFRrDYC4k,The Isle Of Arran,7As7SIkBq3OqLYKTwGUdLX,0,not available
74,Undertow,4rIbWFLIpR4UXXN27BEz1u,Lisa Hannigan,0z7Yuv7DuDQ5SaVn4VSlLt,At Swim,5osTMCb85ra91MWDGMTlYv,30,https://p.scdn.co/mp3-preview/46dfea2ffe7a6e29cbe635ff0161c49ea6762ce2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Wild Horses,2Oa0yg4GyJksDwTl6MGVsa,Birdy,2WX2uTcsvV5OnS0inACecP,Wild Horses,2j15xGsFUDzm7Ld3WaB5Af,41,https://p.scdn.co/mp3-preview/1a0546dbc2736b84272fe710c412ba7adcb791a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,One of Us,56DBPqlxKq8jLJLUV0aehu,Martha Wainwright,67pQ8Yr09zDDzzwWw3EG9R,Goodnight City,4lr8zV8ubVq5f1cn9GlBfn,14,https://p.scdn.co/mp3-preview/e3f6afe3ca9b225127893c37cec84a4bea99489c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Charlemagne,5K2lr3Y4fkQSv6Fy1bC1CG,Blossoms,22RISwgVJyZu9lpqAcv1F5,Charlemagne,4IzjVLcgZarRRU3v11l5Kr,1,not available
78,Pool Party,5xpm8e4mSOSUjmDzqJ182p,Julia Jacklin,12fRkVfO2fUsz1QHgDAG3g,Pool Party,7gMiyE2nOi20VGGW5VVkJY,0,not available
