All Songs Considered,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,When I Awoke,1Y76ebBrDVt22vlcSvLmyw,Tōth,02nqs3YdfX7Th3gYTYFrqc,Practice Magic and Seek Professional Help When Necessary,1nEh5HMhNePitqWKGKKpLO,3,not available
42,For You,4sNptLFgTxKfCLij4tcFjQ,Joanna Sternberg,2qDa6aEDJtMIQMb6IddWaI,For You,6Lk4S60QN6rK2JO00O9jDd,16,https://p.scdn.co/mp3-preview/45c6d81f31a609b65ba95aaebbb39eef8264d6f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,The Cracks,75qz22jgedx8v2M8iDsd8N,Another Sky,08p5D6BYuwPqGsFuIDLNFr,The Cracks,55p8vvkB3QkVLCppyhGWAg,51,not available
44,i'm not where you are,6xFSEhUT9TzoD9xgxMUyWx,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,i'm not where you are,6JBb5k0nhor0xWbuRwqBbz,28,https://p.scdn.co/mp3-preview/630ec43016326b83955746267512e5b31fa68a0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Firesmoke,1tAyOmn5BUKsqHLZ2IQhIt,Kate Tempest,1O3wYcUD08X9yb6J3xaw5M,Firesmoke,51zxkyjbIvg5qRrz6yW6AU,13,not available
46,Essentially,2OZXdq8Z8pyvGWDnzhHFEX,Japanese Breakfast,7MoIc5s9KXolCBH1fy9kkw,Essentially,0nO6SoUfhavtCo0JflL3SJ,54,https://p.scdn.co/mp3-preview/a57e9a40e17884b43cee9fc9a331119687e10b04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Drunk II,4UBUHPYZG7Xw8oUbJLrEBk,Mannequin Pussy,33yje3hgpNfdXpqdJQcrt9,Drunk II,4DlOPfrnHUZmUK9nHJUAhK,40,https://p.scdn.co/mp3-preview/c20505a0c07fbd5ac61af41af821d46bf55442f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Boy Scout,0gfqbySIftfJu9cmOcCks1,Patio,2mln4aJfJQaYzFUUQ3Ji9N,Essentials,6Ji9zIuio7Nv9iidKOuUiM,11,not available
49,Emotional Bachelor,5wGFGWgQp7eU0wvKexKSIu,Future Teens,4psGjIN7MDwMYJTlRjauKr,Emotional Bachelor,1C9OHCV7M6XhtfCV8MZKDt,25,https://p.scdn.co/mp3-preview/01968eb3c3b49f1dd4f27ec251a3b53cc38a6755?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Beautiful Strangers,0prVUHQu2xr6pI5iEbKtxo,Kevin Morby,6fxk3UXHTFYET8qCT9WlBF,Beautiful Strangers b/w No Place to Fall,6lS79EuYCe7HMnueUNrrAq,61,https://p.scdn.co/mp3-preview/51b9b98e0bb963544def6b674c42440aee748e9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,No Halo,1dkjhxfTkIag3Kv7hV0bB3,Kevin Morby,6fxk3UXHTFYET8qCT9WlBF,Oh My God,3Xugyt3sTfDgvALU1St1QA,51,https://p.scdn.co/mp3-preview/335978da052eab80cd4c9cb57e339982ee804d6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Nice Things,5X25z9ze3gvahGcKyeRyYs,Tank and The Bangas,5cAtakaadWHJLxmGKrKcX7,Nice Things,0OmRtrtbkgxQXCx7jbzj74,35,not available
53,Martyr,3RW3vVFN3nM8wB9NZfbOnH,Sevdaliza,5MraexJKZDrQYzS98kNwie,Martyr,4htCDSBQxyztvkMqK0FlGo,46,https://p.scdn.co/mp3-preview/859e223ebc7f548ab1004aa017313bbe2152f373?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Shoulder Charge (feat. Lucius),6RqnrIu2xDenXtnpFgW1nG,Jesca Hoop,0fqE57gXXTTqxXlFYVNG2u,Shoulder Charge (feat. Lucius),4XVPJ6CIVjyUDQGkJKFE0A,16,https://p.scdn.co/mp3-preview/1225add6886efe43d91b8edc19970f7c0198fd92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Everybody Said,77VGmPJzOosudTVKVLcjlB,Chris Staples,5DAYFETp2MfJgHkgbkJvoX,Everybody Said,50UeuPPzGnMptwGerYijfW,1,not available
56,"Loving, Loving - Acoustic Reprise",2rwNtkUBWmMPeyAob83iXr,Vera Sola,6QZsje9QjfKHObQDmX6k0y,Crooked Houses,7Jbd1X0bz34CsHiiamYBnS,18,https://p.scdn.co/mp3-preview/5d93ce7c9892deb1c4f9e63f4b7b4bb64408595c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
