The New Alt,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
88,Tooth Fairy,4OlbL0FOdMeUHddEAgjB8L,Hirsch,5L0UU9wI651RERYSEddxsa,Tooth Fairy,1lWW1dAHcKRyWPLeIgH5Hw,26,https://p.scdn.co/mp3-preview/359bb9b289ef0f3aba4420a85d6022994aefd259?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,When We Were Young,2lDc3v4TrqVILUHDaRwtCj,Flawes,2x0Fa6Dl3L2EPG9Ie3OQWZ,When We Were Young,0OfkA9t6WCoBDCvcJ06yBe,22,https://p.scdn.co/mp3-preview/77c4bb3f2141d35088477e3b207599b62452d276?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,The Eyes on You,6OFB2arLiunWCpBUabCwAX,Hotel Mira,7hd3XnjENIMw13Dmn8hEYw,The Eyes on You,1kjTbF281wKHqOmLeRFxc7,43,https://p.scdn.co/mp3-preview/877a6d5f19769e9221b4f97047243ab825a21663?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Wanted,1dCgQFJdvAYjbv2BCRB3n2,Evaride,6kU38KiIBwTXUbMbQqBnKi,Wanted,6XvIbmITWAlPrg3ae9tb9s,40,https://p.scdn.co/mp3-preview/06fbc2a6efeaa96348e9c943155506b725beb870?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Blue Lips (feat. Ursula Rose),424LI1OXfUx89pw0LQmX0T,Bear Hands,3ViZST9PgFoieuOHY2GZMp,Blue Lips / Ignoring the Truth / Back Seat Driver (Spirit Guide) / 2AM,4P2nTcnE6GR3jR40k8p8BM,1,not available
93,Wake Me Up,0ionYKqaYZPg9FSwPlqqmr,Foreign Air,5ApQnMT6oR8eLguf24xb9S,Wake Me Up,6Xgf7Z2nwvqkY2ROePlKGN,28,not available
94,Bad Things (That Make You Feel Good),3cfBqTFaKsh9brVseiw3R8,Mini Mansions,07xbJ7SM1JopFtI1qXvSww,Bad Things (That Make You Feel Good),2Nbf2vwCluZu508vZUJb2T,41,not available
95,Stay Around,1Y7V7f9mHWm5RDA6BfaQOm,American Authors,0MlOPi3zIDMVrfA9R04Fe3,Stay Around,0zAw2zE8sP6VnjONRI1weI,3,not available
96,First Person On Earth,5fHkhbyNezBIPMoKCJa0AQ,Robert DeLong,42crL07E4WPfVovyUtMpvC,See You In The Future,7FYvmPuczZIDsMf33JMH3w,1,not available
97,Learn To Let Go,6Lqqc9jcrXUSxiDA5jle1j,Welshly Arms,1xKrH6GSh9CJh8nYwbqW7B,Learn To Let Go,5nPU3kKkhMcYLnsxNB3kmM,58,not available
98,Something Special,0b0eUo1sMQwatRM4m8iA09,The Riptide Movement,1MuRcEsmTkLsTJZVAxLPqO,Something Special,1vJZL2iZivsBzlESRwJNaw,39,https://p.scdn.co/mp3-preview/06693f842d460842e99819962ebeebfaa37e18e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Song About You,0Knc89pMAsIZbK8tor7i93,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,Song About You,07XJG3rfiNubUl2ZFaMxnx,6,not available
100,Choke,37mfTcSlX60JtAvAETytGs,I DONT KNOW HOW BUT THEY FOUND ME,0Raaw7kr1Vzat4ZvHzjsJR,Choke,2KwVOjuUAYp2qtdBcFDfCn,68,not available
