Rock Hard,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
56,Alone,1w3XQHyd4stGaZmIlBU3cr,Of Virtue,4GnK2zRFtw1gBoiFORWHsA,What Defines You,7mKKb28AyyEkEqqKxsgZN7,48,https://p.scdn.co/mp3-preview/554aa5fe831737c71bab493c14c909f744d7369b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Set Me Off,7cLkcz0lv3ShfEmPOjo1cG,Damn Nation,47BeGc5LwTN4MyWE6m0gzE,Set Me Off,4KEhPnkcrLWExAvjLlfT3I,42,https://p.scdn.co/mp3-preview/976e0fdffaaa318f5ee8872ad4fea6250104199e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Numb,3tyirD3obARHIGu2GBU3sC,A Killer's Confession,5zLrMhpswOj8Wk9EK1PTDM,Numb,3CoWaT49aL0BQLtREabuxM,40,https://p.scdn.co/mp3-preview/ef0616da6a0cb94b669c2c84789dd4b1dfad2c41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Right Left Wrong,2pAUx2a1F5JCaVgytQm8fI,Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,Outsider,6HKOyl4NiT2Jqe3Q7eSdXT,64,https://p.scdn.co/mp3-preview/7a451c42bb22740d413eacc4bb3df5c2fe1d5afe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Fix This,2dmXK5Vbtd3xcMVlW4cPPA,Nonpoint,6BdSOHfQ6kMg0tbAFlXR1z,X (Deluxe Edition),6VR91jzeyEvl6UkEqQkswo,48,not available
61,Bloodline,2MrmBl3qmsA26YPvaiSvmW,Northlane,3qyg72RGnGdF521zMU02u9,Bloodline,2Irh80gqvpl4sZKnDG8p4r,55,https://p.scdn.co/mp3-preview/54fa2fe004d0e07e0b0939667ecf3e57a8576e26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Stay Ready,3VyTSj0Ub87UrSOfVNmzpD,Adelitas Way,1ZjAT2nTrzDIXFfsQ2hWJk,Stay Ready,7gfgPzM23GcJDmgwSPyh1y,49,https://p.scdn.co/mp3-preview/65cc9d1801032e7525229b7c8f3edb641c3192fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Primrose,4YOmGns9ojNuDVV4RfrY3c,Dream State,3PPxT6AXgPvvajfvP1LQtw,Primrose,61fPvSSGO8nnI6tvYTiCnh,53,https://p.scdn.co/mp3-preview/58e2acfa8316b053059a56ccbb73043ddcc950a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Boneshaker,1fvmljBBL2lsyewZBKYj93,Airbourne,6urzdpGY5yUimWZsgJUoTb,Boneshaker,0qluDo8WVqgdZ4aSm1dm3T,55,not available
65,The Gutter,09BmPe5qBi8kGh217ZVdm5,Coheed and Cambria,3utxjLheHaVEd9bPjQRsy8,The Unheavenly Creatures,42S0lDJT9wHKCVaMGgqKdm,52,https://p.scdn.co/mp3-preview/4438e85ad3215ea72260532a3ce4f4b29492f00c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Hold Me Down,1DPUzJEjNy5A3uSfvtx51K,Morale,6GRMSo8aC09i25DVa8KVSO,Hold Me Down,2pV1il3khaHi0z8Vlp0oVf,42,https://p.scdn.co/mp3-preview/29be433d0964968690e60b4bd09a3a690005a062?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Let 'em Burn,4bPrKGqQKiBmf49XB4F4H5,Nothing More,39VNwvlQTqE9SvgPjjnMpc,The Stories We Tell Ourselves,4tEmy5QxiF1b65HxuGnkco,60,https://p.scdn.co/mp3-preview/307d8fc7caaf48595423430e237accae44b9791a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Letting You Go,7rGN3oqzCpG2mLcwoPwDQm,Bullet For My Valentine,7iWiAD5LLKyiox2grgfmUT,Gravity,28sCbClwbAhHN6ovutizQg,63,not available
69,Sick,2TMcI76mWPGKGRnYyvQOxI,Hands Like Houses,0u3d5PM2FuEuG5QuUdt8mT,Anon.,5dzY1VnrN9aVwJma8PZVTF,46,https://p.scdn.co/mp3-preview/369ada870ecdee2d025b1900ebcc2b04f4ccc37a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Empty,7DtaoVCnStRPqC1bs3xZ1Y,American Sin,3NA7pdIdD5hjZMMxI85CAX,American Sin,1a6ry5tM7VDEJBBh3Tes9E,44,https://p.scdn.co/mp3-preview/7f78af947b80f023800b763f9ecb2d9536c7432c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
