Signed XOXO,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
73,"Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)",0OTBOHjEaoqroFlfut1ZsH,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,"Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)",0PlIVDVVQdDmYijtQAMpIO,70,https://p.scdn.co/mp3-preview/0d134b6356988a85a9e1c60aab30990ff06a88d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Babouche (feat. GoldLink),2tN0dnN3wdgyIYvHbSGHiw,Jidenna,4TsHKU8l8Wq7n7OPVikirn,85 to Africa,238eVufzRziHuYLuBVZh1u,64,https://p.scdn.co/mp3-preview/103d58a8fcd9829be03ee70483796467a2401b8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Hair Down (feat. Kendrick Lamar),6sq5mqtS3jwJjvBHALknJH,SiR,3QTDHixorJelOLxoxcjqGx,Hair Down (feat. Kendrick Lamar),5w27XydFTwAPV5GjsWya37,74,https://p.scdn.co/mp3-preview/27cc6d6d989c10dd916a6111809c72dd3e48140b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Summer Reign (feat. Summer Walker),14geRrYSRz73sBbtPD4iPQ,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Port of Miami 2,1mgw5rbUS94uif2ce9QCf0,67,https://p.scdn.co/mp3-preview/2e9825470b9ecde4f4e7b62c0dbf2186d5f5c522?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Love Me,7Aem1fAapTdGcHwAYyQYU4,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Love Me,2mmm7szQmrcm5BpAg0GzXO,79,not available
78,Focus (feat. 21 Savage),12iDo4Kdw9vA2X1lN3UTVu,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Focus (feat. 21 Savage),7ytUi1ApfKHaD2iJrOzjvw,62,not available
79,WAM,4uU6WpUiOHLxMzXD7eVzyK,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,WAM,1opbVvrgNu3y8qFERjLQW1,70,https://p.scdn.co/mp3-preview/58f7f8f8447e3a74874846b0d827defe65a3f680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Show & Tell (feat. Future),3dVCcRzAulDIuQQoQpDBTb,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,62,https://p.scdn.co/mp3-preview/98ea286d6e83301196b9b1d804760ce6a9310ed0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,For You,51utzcuw1SxGYh92nmbFrm,Childish Major,4bMNzAopkqYTwkBLwMKsF1,For You,2r8d6hcoFSRW0bgsV9Uipw,52,not available
82,U Said (feat. A Boogie Wit da Hoodie),209r8VXhRUVmv7A4VnX4fD,Lil Durk,3hcs9uc56yIGFCSy9leWe7,Love Songs 4 The Streets 2,2on4MsaadD3GhX1Z9kbZxl,63,not available
83,Girlfriend (feat. G-Eazy),2Dl4B2t2dysNepXKRaiWVh,T-Pain,3aQeKQSyrW4qWr35idm0cy,Girlfriend (feat. G-Eazy),4UUPCVMfRygX8QIFiLti6F,69,https://p.scdn.co/mp3-preview/cc7d5418e4e5f3081768700fbd07d0853e370afa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Anything Can Happen (feat. Meek Mill),04VO6VICgMJgTe2dLxFBoW,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Anything Can Happen (feat. Meek Mill),5DToNHmi1v9YZacvKqg7aG,68,https://p.scdn.co/mp3-preview/f6ff107e4e13c61a69ff82a5f4a465235100c377?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Alone (feat. BJRNCK),21GwiS6kowfMupwxA5nibr,HappyBirthdayCalvin,6NkldyBEgC6gnCjJeAbM9F,Alone (feat. BJRNCK),6NhOkymD5XtwJnbtBCqSgD,55,https://p.scdn.co/mp3-preview/c36abb8e2066a1dd14a76cb8a1d1822410dd2070?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Jump Out The Phone (feat. Leven Kali & Brady Watt),2AG3B8ZjK6AGK6JKhfVrRW,Cousin Stizz,0KpCz7V5XRkqKuM1JDf56O,Trying To Find My Next Thrill,3l9X9abmztD680Rs0HnT98,46,https://p.scdn.co/mp3-preview/5f328f10727b20263d7944c0f78971a0218d1306?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Lights Out (feat. Ty Dolla $ign & Rich The Kid),26LRMtK7JytCxbDAMcexWZ,Ronny J,3TKCdsX8yNNoiC1gesn6or,Lights Out (feat. Ty Dolla $ign & Rich The Kid),3FDZv1RmmwJoKnwhWaoQ7J,61,https://p.scdn.co/mp3-preview/974fcb09bfef10a9fd84fd1e326b61546283be3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,"Don't Hit Me Right Now (with Bas & Cozz feat. Yung Baby Tate, Guapdad 4000 & Buddy)",4ChD9wq9iakg5UdeSzmgPE,Dreamville,1iNqsUDUraNWrj00bqssQG,Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,66,not available
89,Zodi (feat. Mr Eazi),2s2arJw9uQkl9P8ZWwkGmr,Jidenna,4TsHKU8l8Wq7n7OPVikirn,Zodi (feat. Mr Eazi),0tJZlzFlCPdVv7Ef3PwrE6,58,https://p.scdn.co/mp3-preview/351882401235d088189eaad56815dc468313c60d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Don't Think (feat. Mozzy),79Jyb76StNv1ArflQfsvfJ,P-Lo,2QLM9IFaHBtB16b8ZDaA3A,Don't Think (feat. Mozzy),2XX0R6zFXb7ET3vl74x6A4,53,https://p.scdn.co/mp3-preview/818707f9fa4b46dfecbc8d5df69dedd360565c2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Favorite Substitute (feat. Ryan Destiny),3HxVfeNEAH2RWMoYbDwbKF,tobi lou,4T8NIfZmVY6TJFqVzN6X49,Live on Ice,6K7SjlIebufubxXGf4uA7a,52,https://p.scdn.co/mp3-preview/3ef8ed02e0c5df2328656a6b7bc539e0e908d854?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Melee,5hXqurVR1oeDhMjDDtxPNa,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Melee,6y75mS3sTU9tXCGL8go5ot,40,not available
