New Noise,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
59,.burymewhole.,3WOkCAnlf3qKYgMQAOb6SN,Dead Poet Society,31M8EXHYtEqOqVb1X7JRVe,.burymewhole.,3f5bcjAetjllpmnRxdBAkS,47,https://p.scdn.co/mp3-preview/badab6c412fd9e3299a4e0c1eb967fbec13dede7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,IGHTF,6nEvnNqDuMSvR3KwoOcp6D,The Hunna,7jZycSvTyx0W9poD4PjEIG,IGHTF,0ogoAjCNtiE1Oa7EBYha0K,53,https://p.scdn.co/mp3-preview/4aa2331c0b80b1c416ed800e791b26dca4018613?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Bleach,1eh6qL5xb5dlKacdYOMBbq,Call Me Karizma,5fENlrINIVP0gJOtKxvORt,Bleach,7c43hBXFpJCvsqNjOsVnz9,51,https://p.scdn.co/mp3-preview/5dbdd8904cdaa88c27af6e7d273814d709c2486e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Black Cadillac,4laQYmvZ4gMUCDl75uvoRN,Mondo Cozmo,7ybnRZKtRbWQzJfKyYSyh6,Black Cadillac,0WizGOELL9v58APPC0DkIz,47,https://p.scdn.co/mp3-preview/69f38c33ad8ce0a589f150355fe4ae89ccb239ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Leave Yourself,1IxxsxcpJsuVM9JgMwPXTy,Hundredth,2rtsR8zno5naTxY0iJr7M0,Leave Yourself,3a5nmUudBJFzBhNwQvElM9,42,https://p.scdn.co/mp3-preview/06a02f804474f6029fc0ef241cf7e958411a22b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Why Are You So Cold?,5bDhcTJIWPF9CzJaOVmw5J,The Haunt,45d8YG3R2DApOMnIZuyK8p,Why Are You So Cold?,7kjO9HoBtMFgFp1yO2fMoG,37,https://p.scdn.co/mp3-preview/eeacac232e6bb213af351ee48d85f6207338f0f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Erased,200Cyt2C6ZNPtiivdz4Dhr,Essenger,3vc0JWD1Nj1VLrgJ1x3cjE,Erased,704GpfscSr5sue1aG9KFhV,41,https://p.scdn.co/mp3-preview/9aa0f8a3987794ea0b98d6be01a9122d1bdb1b7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,100 Little Deaths,5r1woM0Oeb0yQo1iPI2fxa,Juliet Simms,1hlXIybvN1I8r3ooBEkYRh,100 Little Deaths,0r7na43S79RzLEamHqiv0D,44,https://p.scdn.co/mp3-preview/d0cb802ce3e9984af21f6048f20431499f172e06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Chemical,2gZBMKowBbMRu12M0Xmlp2,Thousand Below,0iU3WDujScAofxcK2EMypN,Chemical,490gh9WciD8B5IjiTJ89OP,52,https://p.scdn.co/mp3-preview/0fd327d680ed19363a808da6a3ac38cc0d2f8105?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Belicoso,2miicbSi3pZwm6Jzgw6AjF,Calva Louise,02nZLQtQ4vL5iHyp6atBrh,Belicoso,4UCn67JtIgzPMCnmU5NinV,45,https://p.scdn.co/mp3-preview/440a9e49a5f31fce9d22037fcc2b4ec466378b19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Fix of You,033rGPqzqWDqItMg5yXn3h,The Treble,25j8ur3jsyWAY11dB5QpHD,Fix of You,7MuZuaLfLDMZJHDHSDv7uG,37,https://p.scdn.co/mp3-preview/b388cdd6c3ef53054095ba4b6928d45c1aff2c03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,SWEATER,7g6VaXYWLuvZKE7GqyQUIn,phem,0MGJHTThvyAyqKuEAgPqDr,SWEATER,0zwMZwYTbG6ZxvbVT2Zu6B,48,not available
71,Like A Stone (feat. Tom Morello) - Recorded at Electric Lady Studios NYC,6bbEWtu7bQtl5a5cZStE0z,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Spotify Singles,6XI7j88Hmfye0TXQgp0DcU,60,https://p.scdn.co/mp3-preview/e1a40da88cb06b4090f5cd706874fb26050e43ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Take Control,4ayIpClJzUh43tJgzyPI9f,The Mysterines,15QhuBSLfDNECfF8wvxj0M,Take Control EP,60fONqEriuAr5UWfkIXJPa,48,https://p.scdn.co/mp3-preview/e58c2b83433eef70d7e7150eaa64be8b6b01999d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,I’m Listening,7af5XTUGxqHwP7pJHVbQnW,Good Doogs,77JIuKxP5Gs2Izi0GmiqZJ,I’m Listening,75ufm7GOOjI1z7bAHmIqdR,43,https://p.scdn.co/mp3-preview/9bfcc3d8357f2aeb023f395a8bac0a91e600baae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Obsession,61HHdIlDFj7Jxo9Fwym21d,Joywave,1UfzhwcOR4yfX7yHTPfC9m,Obsession,6mcgYTmEniINAlei5zi66F,55,not available
75,Be Here,08lDLOthi06aL7stFvt6KL,Tori Forsyth,0UVISIZtASrGYL3975rp6w,Be Here,4o2PxZe9VzUqiFs99GYcGV,43,not available
76,Kill the Chord,1Kc3CxhNiZdgHQV4udkLgY,Gaffa Tape Sandy,00P2dAOymeYKFx4OSaVgw1,Family Mammal,1BO7FtrmddhXgemo7FDukl,36,https://p.scdn.co/mp3-preview/e5f292822710c069e7a327bb1316183ef7d3231d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Old Friends,6vYx18oHSUU3xDWFW9QaI9,Grayscale,6Xq9CIMYWK4RCrMVtfEOM0,Nella Vita (The Singles),52G9JL4R8BhB3SnVV3n1Oq,31,not available
78,Hope For The Underrated Youth,6AYD3ztnzQhAJQ3SOWwqtP,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,Hope For The Underrated Youth,486SJxMPXQrwatQ4S1cU8G,71,not available
79,bangbangbang,1fkZxynGI2QzvSusYVOYq2,Deal Casino,6VsE82GTo7eDAW9XaDO7wD,bangbangbang,0I7AKADF6agrQ4k5kblulp,40,https://p.scdn.co/mp3-preview/db8cfcc22d88a7d5816687f3d03938d9b1ad19cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Big Win,2jR7NL3VzaKWtmUi10SSTQ,Spare Parts For Broken Hearts,2Ztv3nUtX0tMKHlOpLeGf5,Big Win,6X8C9Vs8SzBkbzwuzFsAUH,38,https://p.scdn.co/mp3-preview/5e3d619fca6a857a549fae8665705842803e2ed8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Beyond The Wave,1n2ftY1tDVEyf1uFcNjAuN,Of Allies,5fYc93nNjMlAsoaXen9elQ,Beyond The Wave,5XgXtw69dnxI0Do8UI2HiS,46,https://p.scdn.co/mp3-preview/0af078e4de063453708b3cf429cc9e531cb5d8cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Sleeptalk,1TZL2ALftNxDsMIpQj6atE,Dayseeker,5FjQVp1Lb0kltmwIuu5kfj,Sleeptalk,622ZVGUxmspAlCaYgxqBw3,57,not available
83,Nothing,2cEvDk8ja17n11QhPbNKft,Honey Lung,7xhSASbzZi4UXHDnWptMaY,Nothing,3hXc7IFSBnhgps0sVDXIYc,30,https://p.scdn.co/mp3-preview/fa5c3fa492ce73613be1701b46561f72364f9389?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Watching Me,1it6clwVMKCsJtUlgQSUxx,Glossii,6i44PQmMX9HCzyTC3t342J,Watching Me,1tN9jK8Ow5h3c4bXKcavAd,38,https://p.scdn.co/mp3-preview/2b82734af890b290e655d233d23b4571a71cd7dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
