The NME 100 2019: The entire list,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
90,Confirmation,5jema8R5imgDWvzmWOEG59,Westerman,09s6bLEw45wioK9ytf3nsA,Confirmation,1HimGXDS3893P1AWeUHw30,52,https://p.scdn.co/mp3-preview/6bf461a486bd667798409f4942d0186fbbed507f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Pretty Pure,4NcjvIgMIPTnGPeNbGHUrW,whenyoung,6IcfYALmhjyW2kJwRNXHJp,Pretty Pure / The Collector,4v6RjMlopl6UNUZDVywYKH,35,https://p.scdn.co/mp3-preview/51b6ab8f91a8f6989b59a4d225c3d94f1dc867e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Corinthiax,5XGEal3TEm4KXHdkGUZvOH,Wicca Phase Springs Eternal,70AkqfU43ou9hFxJZTDt7A,Corinthiax,5l7aGczIVrWIQWxnwnmHnB,35,https://p.scdn.co/mp3-preview/d5f4e8950142ae908e32eaf22777ac936d32f4f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Melinda,6dqkMqgKAnow0AsO7x6nuZ,WORSTWORLDPROBLEMS,4qc1jnkXfkECsObb2iZBaQ,Single Season,2KyoxMaXAp6Z9cx8IHbuxK,0,not available
94,Screen,5Ka0KOC0ctKneIsiqNAchx,WWWater,4WgCTKIMWlD3z6UASgxyht,Screen,5jFqbR4HbWtqXrGN7rI5rm,18,https://p.scdn.co/mp3-preview/935f8bea6912a72460c32f956b89ffe374dfde62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,S.O.S,3kYRN1QVO2EPKW34CMZVKy,Yizzy,4uCUBeUgVSrYFwLDeklA7g,S.O.S - EP,60JfwEqyXso72yTpdN3BQm,19,not available
96,En Route,4XGEX65pWyLt31jMNjGvmF,Young T & Bugsey,6M6XXCcO5gI68XpIlrUL3Z,En Route,2lIUOjsOBVOGeRnPO3C2cX,59,https://p.scdn.co/mp3-preview/25f42fde4dcba509f74012aaa78a687949e6161b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Mystery,7M3txFiUnjpSbSc0axEUyW,Jesse Jo Stark,1VmIiQ7VHrqHg90igSWrB0,Mystery,0tDrSXwqrCRGI8TdeJNExN,39,https://p.scdn.co/mp3-preview/742f784342e8b586a5ab7b5a30f3d883e8c1fa90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Why Her Not Me,6xsoOjRcLB8gvjtmsQrIyq,Grace Carter,2LuHL7im4aCEmfOlD4rxBC,Why Her Not Me - EP,5f0eFn8Iv1PU8b4ylLxRJY,68,not available
99,Feeling Fades - Single Mix,4C1YmlESkEnkSj50jFsZTN,The Murder Capital,18M7pJRsgFVjEBZ5ufmJAp,Feeling Fades,6JgnSzeNlVnWCChEOktqPl,34,https://p.scdn.co/mp3-preview/0adae056d9d9b7930848419c572a6ee77288f2e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Ice Cream,4ui1q3A3OdDw7jyaxdj5ne,Jerskin Fendrix,42ktBPs67SvwvkWZDtn6TW,IT'S BRIIIXMAAAS!,46Z0KxBpe0pk7n0UZmkI84,17,https://p.scdn.co/mp3-preview/8a9b1d8c43661c992cb23c68f07ea9d0aaedaf50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
