Sub Pop Suggests,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
87,New Speedway Boogie,24F4bo3DfjbjjS5A5a4diQ,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,Day of the Dead,19aZxgHJEtveuVPhDFTMMG,41,https://p.scdn.co/mp3-preview/82753a71b69e1515124e775e56e22fb5585d9f54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Cold Cold Water,1nxJRijMelBe14KUrJPEAl,Mirah,5AZHg5fZjuN4FzGUnaiQcj,Advisory Committee,1FK60xXm8Z6vEsOZwma8jZ,20,https://p.scdn.co/mp3-preview/05c2306dcaab51acc1fa3a55d9cc623290d5e9f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Lonesome Sundown,3WX8PbYVpU0SJf6EjK9HLE,The Halo Benders,2GDhYEtqyQ46D4yOtzGLIN,The Rebels Not In,2PMiFiMRplUBpR3pH2aVHh,18,https://p.scdn.co/mp3-preview/8c436faaf40228fd45674fa04b8eeca911f277da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Long Black Veil,6W7JvNYum6o2NxIIP5rZ2s,Lefty Frizzell,05pAwLhsutiuj6gerEwGvU,American Originals,5DHSzaRCg638OK8gl6uyCL,49,https://p.scdn.co/mp3-preview/c2cf942db34291502a87c98b5600c0d35698b49c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,The Dream,6zRUak8p5iiV1qZkUOmQDv,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,25,https://p.scdn.co/mp3-preview/0b8c66c4c09a1b6e999df2d54fe871a17eee6a2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Floating,0oa2c9SZk84Bg66tBDzkLE,Lealani,75tAH33KAd0BiKI23i27NK,Fantastic Planet,2ynY16isYSUF38hLSbHuHL,26,https://p.scdn.co/mp3-preview/a63c26d65c130a57808dc678cfbb22c86d249920?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Wants More,7aaNO8PHZKkMntbz6JxVKy,Kamikaze Palm Tree,2axfIPH0WCc25iZx578Rns,Good Boy,39GNu4KXFK3Kya3l4YAn99,18,https://p.scdn.co/mp3-preview/b313a3fa1f40c50175a1a929c9a221eb2a8d193a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,She - Remastered Version,0ik33iwk2do6Rf9rQs7e8X,Gram Parsons,1KA3WXYMPLxomNuoE22LYd,The Complete Reprise Sessions,3ko4O07lDY3bHnDVXgbUzp,26,https://p.scdn.co/mp3-preview/63d868679b0acb28a57005dbf8c15da95d0da27f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,A Distant Voice,6Bt2xLOhOvoYLqj5xRltSs,Sonny Simmons,4HfBxby5e2bCbVPe4pHeuV,Staying on the Watch,6lTbw5HinNtaCtdhiohiL7,6,https://p.scdn.co/mp3-preview/464c069610d52e8141bb1b1256830a9c1e3244a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Arboria Tapes - Award Winning Gardens,47SYiEdo7yPNK2KgHg30Qp,Sinoia Caves,3PiClMYSnMYHCc2T11m9cd,Beyond The Black Rainbow - Original Soundtrack,5xrI7yn0HPrGKFYODgMtES,22,https://p.scdn.co/mp3-preview/8a82687f34fa1397c36ce4d6f95fb3293f93e118?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,N/O,7DBianqfMJvEmoaPTm3ltK,Dreamdecay,1s2OjLtmJ3iwKLtipEi0yc,N/O,5eR4HGpmk2jRw9hYEHEj3v,18,https://p.scdn.co/mp3-preview/50305d9d7e8072cfe2dbfb3e577d0a7eeae4f2e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,When The Oil Runs Out,0DlFm68m24tNkQLWqaZ0bl,Newtown Neurotics,1a5s2cAmx9Kq9Syumlvz4X,45 Revolutions Per Minute,38YavhI4BWrWaJzhyFpUAF,8,https://p.scdn.co/mp3-preview/cc24678952607c8df767d2063d242433eaeeb20e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,The Lesson,6XQd8aZME2MP2lL5TXTnTF,Conspiracy Of Owls,0qoKN7ITffvddj6PVhmDSK,Conspiracy Of Owls,4Apf5HPUimeotZoI2Em70S,5,not available
100,Miss U,764YDnFgsAFrqJgDwiY84V,Charli XCX,25uiPmTg16RbhZWAqwLBy5,13 Reasons Why (Season 3),1zbH0DnpYxaoqTojXNLQb6,62,not available
