11 Days of Sub Pop (Give Or Take),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
85,Leave Me Out,5ir75b6QoeYEVKN5OgGakC,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,20,https://p.scdn.co/mp3-preview/8cbeb3eeb104c911071eee20eb5e528b4242f5da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Can't Understand,0b31ITu1YNHzk4ckhJV3Fc,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,19,https://p.scdn.co/mp3-preview/44747244cc7e15411a8eeda76365ed9dd4e38b5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Pure Auto,7xaGOqX2gR49LLRCZ0CP6I,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,23,https://p.scdn.co/mp3-preview/b32555219105a2fd2326bddd02b37113de784745?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Eraser,4a7veZ376uUNtNmb3Dk0bR,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,19,https://p.scdn.co/mp3-preview/cc6577ab20478b1d40e18870315bae9d9f938960?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Yesteryear,4NiuluRvLKYtIImmL16jMm,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,24,https://p.scdn.co/mp3-preview/e6bd7f4b45236a31422ec21feb6ef61657f622a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Tumba,2itJGxOFABSjmLuMcn9rVa,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,25,https://p.scdn.co/mp3-preview/3157445767c4b39e3c8e27f9679d76a8d38712ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,I Am,1FpFBqulToanAEnf5ePEQU,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,28,https://p.scdn.co/mp3-preview/60e551a5f9f85c0e6589d99ea0eefa3eb54d0685?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Descarga del Son,0BTJI6S7HgeubidiXw4DRZ,Septeto Típico Oriental,76dyk9Za0bfFtO00J3Ex1B,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,23,https://p.scdn.co/mp3-preview/19cef95cc28257b9554971ee871189ca48a5ff15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Keep Your Head Up,4SDLL7LRPm4VZv6bP2XdPa,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,30,https://p.scdn.co/mp3-preview/c22187716a7b806c0b4eeed8cd095085e00e80a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Corazón,3W8MbeBHivBMkTgwaQdmTe,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,24,https://p.scdn.co/mp3-preview/a1df36fc3c14773482bb1db0f8dd4ada2e37dfee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Eleggua,59SGaKQdTGuS3usm70CYoG,Raíces Habaneras,1RTsbE8JqTAmrQAoFvT5ib,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,21,https://p.scdn.co/mp3-preview/d768b448fc73a70e3a73780ece502bc536017107?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Kreyol,4igUjX07zfiHlKK1WaVM1k,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,33,https://p.scdn.co/mp3-preview/b7617ce24d98e146d876ac78369ec49e713a7dc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,El Manicero,0TgrHxFtfQ9ndNjm2790RS,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,21,https://p.scdn.co/mp3-preview/8da06fbc05d37b0d195a07609a27c8ad54f8e838?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Solitude,6IIvLk9k5RA9a2NoY24rw2,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,21,https://p.scdn.co/mp3-preview/1493f90178319c497dfb2b79eb63a56953a8423b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Las Palomas,587dVthxCsmGYxKQzi9bKJ,Alejandro Almanares,7ieqyFLWlbXo9dBBm3VsDT,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,19,https://p.scdn.co/mp3-preview/898af76af27c31233d96de31dc6b7204878dd3f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Malecón,4Cs9aE94uumz6Xu6O5DucN,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,A Tuba to Cuba,7uDLZuaulWtvelg7VcHItv,21,https://p.scdn.co/mp3-preview/5804822618ce290fc981202300f9f762c6e04e8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
