Heavy Rotation 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
44,Monsters,5Ig5XbLh28QewUMBrp3HuT,Los Coast,22L3FsvrXWoLLEUApoNfpr,Monsters,5OcnJ4OBuLajvnXJUhbnWl,20,https://p.scdn.co/mp3-preview/9bfe47b89ac97e5074f6cfb5d6e0313a6feeb4c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Summer Candy,3gUJXrfioRmByH6S6fGoMl,Ona,5Frk1YMCm5c06xv0RL58Cz,Summer Candy,037CRgi2kWi0IZ12d1ytZ5,20,https://p.scdn.co/mp3-preview/16e2df12a0b03d92696a033667985b43cc51a172?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Play House,3dDWrIFCVbF4npPnDGg1or,Skating Polly,1ST6hERy8rGdwUaNAZxfG9,Play House,5yvl0wefCh5rcRo2zEppQn,24,https://p.scdn.co/mp3-preview/b67c6929b064372da0512d75a89679135803054b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Grains of Salt,004UNhUg9miNT3TalOKq4Z,Tacocat,3h0MN1neFknEvlYKxFmSQW,This Mess Is a Place,7l3uVSD4WCT8pBvrAMlxnB,33,https://p.scdn.co/mp3-preview/85e947f1ed81fc98dd4b4381d5ce0c8b1d1b2c80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Ides of July,2ejLPIdEUKkWwjeA3nqdMY,Ona,4P5twTxQNwu7YPYNk0RFwI,The Other Side of June,5jNARY8bFJIs2N4l1Fv4o8,0,not available
49,This Challenger,5LQoehjZcksVLLbEuf8oUZ,Tokyo Ska Paradise Orchestra,0UZq6vAHrwGgctvxTzzxYm,Memory Band,21IwEF3HOv4CQ05h8Hmomd,9,https://p.scdn.co/mp3-preview/9d9366431ccda83a3eff2b323f4dd1b1bc55b298?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Bonny Light Horseman,1KfWbzYz7O3gzYVFBxYgTN,Bonny Light Horseman,0Qi9Fcmn1DJAoG8Agf5ibb,Bonny Light Horseman,3q7f7kA7ATAR5ZXihBXV7q,34,https://p.scdn.co/mp3-preview/6d139789461d15a9ed95b7606270540f76434131?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Love Starvation,4z5JfjSyAgvK8hgKHvgJ6h,Nick Lowe,3BqaUtuQmqIHg7B5Bc7fP7,Love Starvation / Trombone,3JBJGn4RaDFGfgilpAPOWR,23,https://p.scdn.co/mp3-preview/fd0dd8594f297b83c076c16581c359498bae2a15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,No Regrets (Radio Edit),7hKzByuXs6qJ9ujeJz86Ea,Mark Oblinger,44AMmIsLfAa1fAm4c8q5vY,High Water Line,1dmmTUQDFKqFQYpM2empcJ,11,https://p.scdn.co/mp3-preview/285dd5050f4baad2d0c49576bcd6a766f1055928?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Blood from a Stone,233RnIfLNrpHC8MzHforlu,Sheer Mag,58ehndX799ZV9Jcv6IefJ1,A Distant Call,0Diq2A7FjraCWgDW1B5u9S,38,https://p.scdn.co/mp3-preview/c56cbf00a0c760fcc0db7f29a5889505c33a692c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,So Ready,03eUQKx8vSOxWsNtaAOSts,Raphael Saadiq,6g0Wah2YFtb1rFgKhUktlo,Jimmy Lee,42qt8FhWtmal27Gasz3r4v,47,https://p.scdn.co/mp3-preview/0269e167816636ae96eb7b8d73eee114391670b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Rocket Fuel (feat. De La Soul),3ZTRTKx8uqpzqqWOA3JyNN,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,Rocket Fuel (feat. De La Soul),5X3i6maFdxK5xyO5bXGoQ6,56,not available
56,Forget About the Boy,2VXE5MQjeVRbeMCgVZuRE6,Veronica Swift,0YyqJ4bcQqxXdsdpgQPwtl,Forget About the Boy,6NLrO8nkhdrxTVqXD8hPBt,16,not available
57,Anyhow,7jsfTlxRRiioXiiu7OKuEC,Kelsey Waldon,6hQxXJuBnpCcS2VLTezQv1,Anyhow,5iR4fHhUGE4bKcy2vVVAAZ,38,https://p.scdn.co/mp3-preview/ecd2e708fd3055569e2561ff8a5374c530d4983b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Pang! - Muzi Remix,3YIfgXVrZ2tfJ1Ze5kjIRd,Gruff Rhys,0dLSQG3IV62UNVhWUe6mx6,Pang!,4Tg0szgxViCY4ERUFuivJ3,35,https://p.scdn.co/mp3-preview/e63234158842c46dc7b4b5a12b6cc40f05bc9141?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Mexico,2bN6To5ipOH6yjYcdujDpt,Husbands,2FUIaEhxMNdiBpO8ykabdP,Mexico,4uI6jdrKh14N8In0ttCwub,41,https://p.scdn.co/mp3-preview/a256555b6c6d58f26fb5a9d9e96fa068cb982202?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Waterboy,1zEbNKskIXJrLnuw5riAYO,tobi lou,4T8NIfZmVY6TJFqVzN6X49,Live on Ice,6K7SjlIebufubxXGf4uA7a,56,https://p.scdn.co/mp3-preview/9f10bde317ffcfd3340a9b00e715fb6725afeef5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Roddy,1hCOjy8lilEMrFGR0F9mgJ,Djo,5p9HO3XC5P3BLxJs5Mtrhm,Roddy,3pDKeJaH5uS8EeuOv2OFiG,63,https://p.scdn.co/mp3-preview/759494a670194f78b07f8f983e409db955687791?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Confetti to the Hurricane,6891H0oidNu6AMpGG93SmH,The Deer,1Hhsvgh6jPbzakInEaTFAJ,Confetti to the Hurricane,3C2DWwDuQOJJyFmzQ5WXf8,23,https://p.scdn.co/mp3-preview/4cdfefb738bf4b4aa2bab5d9e783141dba3766e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Heavenly,6dwNcWigdxPUcqfz2zM6GL,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Heavenly,7kFz92XFqgJ1mAOlbZT3ky,61,https://p.scdn.co/mp3-preview/eae6702755dd4ca3898ffc9760558ebd57b9e6ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,It Gets Better,51VZLaVTfD5e8AZkt8GH5V,Free Union,5iPgme8dl6ejP9MhdDFydu,It Gets Better,0FrrNTbPicQO9ZjhQS63MZ,15,https://p.scdn.co/mp3-preview/a8034bbd81b946204287ccc10f973e328c420f90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Imminent Spirit Arrival,5SsgmiLNsPRMd9KZN6TOdR,Octo Octa,2GH8Mzo3Ur1AdOnGUUpt17,Resonant Body,4tCzrHhdqQ8CiM9e3tZR0F,39,https://p.scdn.co/mp3-preview/af2ffacbc7f9837591b4adaec54036e94b3f39f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
