Late Night Vibes [Chillhop / Ambient / Lofi Hip Hop],Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
88,Taconic,5nhTqAsrl2F75Hvl7KuJxl,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Memoir Collections I - Beginnings,538wzM7bIQT5TAuv79sHRU,47,https://p.scdn.co/mp3-preview/c8898183d1c191283243f418adc32f7a838f1943?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,again and again,5Zv94JkYErITPbEo2JnHO8,Delayde,254ga0emOv4GhfUUw5J16h,finding solitude,5dGVNzu8loE37KsA5RTsjr,31,https://p.scdn.co/mp3-preview/cd24a4aad64dc8d6e96470b06b88beda287a4da3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Everything Was Always Beautiful (Even If I Couldn't See It),47P2h92k3FUsmlIlrpAhGf,Christopher Dicker,3WrvWolT9GYQzCudBunNu3,Memoir Collections I - Beginnings,538wzM7bIQT5TAuv79sHRU,30,https://p.scdn.co/mp3-preview/9a4162554f5d5a98250119998144a03fc44186ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Birds,4k2oxzFZmfw1KXQAwSGiJe,Harris Cole,6DnF6PBcTSsEZuEjXpK0gX,Chillhop Essentials Spring 2019,0FBkB6e7deadNGBxQCpQc0,57,https://p.scdn.co/mp3-preview/9cbdda4697f2c97aa8196cd763e76b793b3946ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,nyepi,3YjTarxfHHEBUWqW5532uv,Ólafur Arnalds,7E3BRXV9ZbCt5lQTCXMTia,re:member,6JpQGIi2he6iskzR4aLwPG,45,not available
93,Route 36,67JEe7X3fEHk9gsPEdgdjK,RRST,3nPrEz2yxxCTnR2yPHiFo6,Memoir Collections I - Beginnings,538wzM7bIQT5TAuv79sHRU,31,https://p.scdn.co/mp3-preview/0eda7d3a3a2f4e49c9beb254cc2040ec8becbee3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,those were the days..,01nISf0pJv5f5Eg5Upn7R0,chief.,0HCAzT0cSCpiNje7AcAQaD,coffee,53T2a6HJ7GjRpjio4WtAaN,2,not available
95,Bitter Lemonade,0XKAtJAUUkfhKiz6alVdNm,Afluen,0XpHVkIUWv3kb1cSWNb6I1,ELASTIC CONSTANT.,1W0om1IeJLsHSIWysztefH,31,https://p.scdn.co/mp3-preview/269e8ba8655aa6060168af12fac3b4ca779e7a9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,I Am,4bmMY1MlxZuyUunZpBreKo,Soon,7LgtfPE5jpsqOCFrOi0x6t,Memoir Collections I - Beginnings,538wzM7bIQT5TAuv79sHRU,32,https://p.scdn.co/mp3-preview/fce606dc3286a9f28ce26e2f3ef65c99af06eb99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,throwback port,3rclsytutZxiC3moc3QIPZ,mommy,0DJoMHFNyxWdoGqi8XMdfk,Inaudible,6mOgPOHFf2JTZBqpIxBMBd,46,https://p.scdn.co/mp3-preview/416e05e28f88d98b64f7e15e221662aa3d540e05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,"Me, You and This Town",7igRT5e06lBwflYkc4sp2V,RefraQ,5RaDXAZ99mBjGfoplomPlX,Memoir Collections I - Beginnings,538wzM7bIQT5TAuv79sHRU,32,https://p.scdn.co/mp3-preview/cea4a0195bcec8569ff4020b31428aca787d0ba6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Thinking Chair,68rhoDJqAR1y1g8JGC3IFP,Aso,45Ui3GdcxzbdJhhTtZLXO8,Home,4l845so4pIo4GbjPArqmjb,46,https://p.scdn.co/mp3-preview/a1c18a9084b402b72f1465c171435e8726b24fa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,what will you do?,2DaU2kOcKjmml94D9EFYZE,less.people,0QmdasntOdQpEwRd40wyp3,self reflection,1J9M3bgYSuSjy8d779gNuG,56,https://p.scdn.co/mp3-preview/4ceba7a8e724c82c3d2dec1bf0e9326e88d6757a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
