Standards de la Chanson Française,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
47,Avec le temps,4zr0ivSuOhX7qwk0r3uk5E,Léo Ferré,6NB0vY1HQgkUpCBsm5eAvo,Avec Le Temps - Les Chansons D'Amour,641Qma5hnSs1OqudP24cfD,3,not available
48,Le chasseur,1cbEUq5Rwe9LLFQyPKxurl,Michel Delpech,4T795JhhCZMWM01DLcX98p,Le Chasseur,6cmLF1Ryo6jQTLLSyREabH,51,not available
49,Du côte de chez Swann,5vuh4FAd5apHmhD85XJOyH,Dave,39Fh4OTce0hxKCiuyB21dg,Dave,7n5DNjnkerFIrz6PXleX7o,45,https://p.scdn.co/mp3-preview/7c4b89484d1e5e71c379b0cdb9994d6daf3cfb95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Céline,1dhwnKg62ljkHarJ883N7Z,Hugues Aufray,6TOGbRYHQizlf3adIyugol,Santiano,3MgwUwjuUgVEaT628l3kJB,3,not available
51,La mauvaise réputation,1CXcTLzJ3b2KJylbsbF0cE,Georges Brassens,5UWyW1PcEM8coxeqg3RIHr,Georges Brassens chante les chansons poétiques (et souvent gaillardes) N°1,4qZ1goadMIs9rX2RrF2F8X,49,not available
52,Amoureux de ma femme,6cT38LHvaN11gThHVVkDee,Richard Anthony,6fhXbgrtC1AffxqI32lPwz,Les plus grandes chansons,4F6NYEBMBCvvIuj1RQv2vh,47,https://p.scdn.co/mp3-preview/f7e8d49509d5e0f583ce546be2629147a4e8166d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Laissons entrer le soleil,2IvsJEIjx8fWfkTWDCuEYm,Julien Clerc,7gVzeNvBbUpj6PXX5ekCMs,Inédits 68-97,3NBgEG8mdN6GvIsrgC79si,3,not available
54,Comment te dire adieu - It Hurts to Say Goodbye,29GuoJqjg7aMxUmEO3XLEp,Françoise Hardy,7x3f7c0fBanNlQwpx1255g,Comment te dire adieu ?,5lX198dectE8fpkow4UXrf,60,https://p.scdn.co/mp3-preview/2be0b0b47e6fbc45a7a5f62ccd12098f1d92a8fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Message personnel - Remasterisé en 2013,4ivYXal7Nzy5twk61X16A0,Françoise Hardy,7x3f7c0fBanNlQwpx1255g,Message personnel (Version Deluxe),2tNwTEAUVbCpSf9JtJkOBb,37,https://p.scdn.co/mp3-preview/51e8eaeed702d23ff1af08423f5d09a892eca6ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Le téléphone pleure,2Wd4Yu2RtYZjSmzLLaghNZ,Claude François,0P2p1bqVyP2EgqubwjTBUJ,Les Plus Belles Chansons De Claude François,6ee87DJAkjCghFeSVSCnx5,42,https://p.scdn.co/mp3-preview/8c0700d0b0b4b3fecac04bc51bdfd9653dc795ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Chez Laurette,4vLqJ8khGI4VpdINhXrxi9,Michel Delpech,4T795JhhCZMWM01DLcX98p,Les 50 plus belles chansons,1RjaSfFBL6CkpHO7XW9A7D,3,not available
58,La poupée qui fait non,3OqYJWnF2v4B88YHEPuOmD,Michel Polnareff,7aKldvGENbL4bj8TCWHuhT,Love Me Please Love Me,4V5xtW0tFqjJUlAWHHv1Rg,5,not available
59,L'eau vive,5qGg8QnOSG1zik86m5Pi7S,Guy Béart,4DfwtuOinoPWTCOLETBkq7,Best Of,1WX0vEaonro2LWQHVX1G1a,4,not available
60,Un petit poisson un petit oiseau,3uW9IEZDNsFPX477BHFqD0,Juliette Gréco,7j237zyOedtfrugnWFJKOJ,Deshabillez-Moi,2xh7wLwWqXcFWPWEA4Vitg,2,not available
