102 Songs For Matador’s 100th Anniversary,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
62,War on the East Coast,5IFT828rayO2vEwYlCp6Tu,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Brill Bruisers,2sNidN9oZULfH7gZfoPZ9a,33,https://p.scdn.co/mp3-preview/c6cf0360a1d2d0fc743be17db8a0483e91a736d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Super Kiwi,3fYTeE1x9Jrw0OugxQyTZn,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Fade,32kBV5WyVtx8HaI8CbgIGY,16,https://p.scdn.co/mp3-preview/8a8daee19e4f7d02f963fc1fc7149dda03c758e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Batcat,59VD23QhxHUYKjsfMFanBe,Mogwai,34UhPkLbtFKRq3nmfFgejG,The Hawk Is Howling,2uPCSiXbtnvNBlebZK7aVu,32,https://p.scdn.co/mp3-preview/1bbdfce6b1f3be4b7172837a510d3ae40ece8572?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Lariat,6qoGbqtZFYaQHqAfPrF18e,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Wig Out at Jagbags,6zEGxtFhXjUHnLPqvzChs9,47,https://p.scdn.co/mp3-preview/3ce01f02ab20cf9dda108385a0e3c783557b5766?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Xtina As I Knew Her,4hpGrNo1OP4kZsqeLGZ5oP,Lee Ranaldo,4tXPSo0qk91VMP3wFxL0Fo,Between The Times & The Tides,336ZioCXTWmzL7dF8YGxPr,14,https://p.scdn.co/mp3-preview/129398388c05334496944ab60b5d698b66629d96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,14th Street,49FOXs2R0won5WRpjIIJbW,Laura Cantrell,6cd8cLjU1djVQEBUn1UsJZ,Humming By The Flowered Vine,3cimbgHgbU2k6g2dkHPNN0,8,https://p.scdn.co/mp3-preview/0c566902768b02c1be94ab56b8c67f1ca28720a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,The Bed,3JQ56d0KSBsyErYUnToOL2,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,Berlin: Live at St. Ann's Warehouse,2IqnVmXyJq99HQ3VsUao2a,16,https://p.scdn.co/mp3-preview/c4f668e7ca6461fda46d9090fadebac0f6efafdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Childhood's End,6ddqBHpdgaM8nWYZZDdTqP,Majical Cloudz,4BEYBN6NCPrFk3sOLMTby3,Impersonator,70EudAo73w9QvcF2u5K18E,34,https://p.scdn.co/mp3-preview/29de279d7873c6d332330e264fe6ed62b4a8a7f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Pentagram Ring,7tlxY0MukMEnzAQ99SuvPu,Chavez,0GXsDnyvpjRO46Cgv3w5KS,Better Days Will Haunt You,0xxWA4ujIvH5LAG4wG3Jwl,7,https://p.scdn.co/mp3-preview/2d704cbff329af000f25bd7c70a1326ce6f05d8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Actress,1krTgRovaIEyE9JAMinZhM,Body/Head,7iWLSJUrdU7ijowTmAHMCc,Coming Apart,4czWCiepqGBPRNiSG2BDGn,22,https://p.scdn.co/mp3-preview/5038f2749e6ff4b2ebf667d2dbaaca38eb4a9969?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Everything Is Wrong,5ciVbeefBaNOmaDXsN0amO,Interpol,3WaJSfKnzc65VDgmj2zU8B,El Pintor,0PNquUhkW8X80jKMEHXs5F,47,https://p.scdn.co/mp3-preview/928b00897ebb2267253b9b20a38b163972731da7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
